j_offset	s_duration	s_measure	s_notes	s_intervals	s_isOnset	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_isOnset	a_pitchNames	a_bass	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2
6.625	1.4375	2	['B1', 'B2', 'D4', 'G4', 'D5']	['P1', 'm3', 'm6', 'm3']	[True, True, True, True, True]	2.0	2.0	4.0	V	False	('B', 'D', 'G')	B	G	1.0	major triad	(2, 7, 11)	c	c	5	None
8.0625	0.0625	2	['A-3', 'A-4']	['P1']	[True, True]	2.0	2.0	4.0	V	False	('B', 'D', 'G')	B	G	1.0	major triad	(2, 7, 11)	c	c	5	None
8.125	0.5	3	['B2', 'B3']	['P1']	[True, True]	3.0	4.0	5.0	viio7/V	True	('B', 'D', 'F', 'A-')	B	B	0.0	diminished seventh chord	(2, 5, 8, 11)	f	C	7	5
8.625	0.375	3	['B2', 'B3']	['P1']	[False, False]	3.0	4.0	5.0	viio7/V	False	('B', 'D', 'F', 'A-')	B	B	0.0	diminished seventh chord	(2, 5, 8, 11)	f	C	7	5
9.0	0.125	3	['B1', 'B2', 'A-4', 'D5', 'F5', 'A-5']	['P1', 'd7', 'm3', 'd5', 'd7']	[True, True, True, True, True, True]	3.0	4.0	5.0	viio7/V	False	('B', 'D', 'F', 'A-')	B	B	0.0	diminished seventh chord	(2, 5, 8, 11)	f	C	7	5
9.125	1.0	3	['B2', 'B3', 'A-4', 'D5', 'F5', 'A-5']	['P1', 'd7', 'm3', 'd5', 'd7']	[True, True, True, True, True, True]	3.0	4.0	5.0	viio7/V	False	('B', 'D', 'F', 'A-')	B	B	0.0	diminished seventh chord	(2, 5, 8, 11)	f	C	7	5
10.125	0.875	3	['B2', 'B3', 'A-4', 'D5', 'F5', 'A-5']	['P1', 'd7', 'm3', 'd5', 'd7']	[False, False, False, False, False, False]	3.0	4.0	5.0	viio7/V	False	('B', 'D', 'F', 'A-')	B	B	0.0	diminished seventh chord	(2, 5, 8, 11)	f	C	7	5
11.0	0.125	3	['B3', 'A-4', 'D5', 'F5']	['d7', 'm3', 'd5']	[True, True, True, True]	3.0	4.0	5.0	viio7/V	False	('B', 'D', 'F', 'A-')	B	B	0.0	diminished seventh chord	(2, 5, 8, 11)	f	C	7	5
11.125	0.75	3	['B3', 'A-4', 'D5', 'F5']	['d7', 'm3', 'd5']	[True, True, True, True]	3.0	4.0	5.0	viio7/V	False	('B', 'D', 'F', 'A-')	B	B	0.0	diminished seventh chord	(2, 5, 8, 11)	f	C	7	5
11.875	0.125	3	['B3', 'A-4', 'D5', 'E5']	['d7', 'm3', 'P4']	[False, False, False, True]	3.0	4.0	5.0	viio7/V	False	('B', 'D', 'F', 'A-')	B	B	0.0	diminished seventh chord	(2, 5, 8, 11)	f	C	7	5
12.0	0.125	3	['B3', 'A-4', 'D5', 'F5']	['d7', 'm3', 'd5']	[False, False, False, True]	3.0	4.0	5.0	viio7/V	False	('B', 'D', 'F', 'A-')	B	B	0.0	diminished seventh chord	(2, 5, 8, 11)	f	C	7	5
12.125	0.5	4	['B-3', 'D-4', 'G4', 'E5']	['m3', 'M6', 'A4']	[True, True, True, True]	4.0	1.0	6.0	viio7	True	('B-', 'D-', 'E', 'G')	B-	E	2.0	diminished seventh chord	(1, 4, 7, 10)	f	f	#7	None
12.625	0.5	4	['B-3', 'D-4', 'G4', 'E5']	['m3', 'M6', 'A4']	[True, True, True, True]	4.0	1.0	6.0	viio7	False	('B-', 'D-', 'E', 'G')	B-	E	2.0	diminished seventh chord	(1, 4, 7, 10)	f	f	#7	None
13.125	0.5	4	['A-3', 'C4', 'F4', 'C5', 'F5']	['M3', 'M6', 'M3', 'M6']	[True, True, True, True, True]	4.0	1.0	7.0	i	True	('A-', 'C', 'F')	A-	F	1.0	minor triad	(0, 5, 8)	f	f	1	None
13.625	0.5	4	['A-3', 'C4', 'F4', 'C5', 'F5']	['M3', 'M6', 'M3', 'M6']	[True, True, True, True, True]	4.0	1.0	7.0	i	False	('A-', 'C', 'F')	A-	F	1.0	minor triad	(0, 5, 8)	f	f	1	None
14.125	0.5	4	['E2', 'E3', 'G4', 'C5', 'G5']	['P1', 'm3', 'm6', 'm3']	[True, True, True, True, True]	4.0	2.0	8.0	V	True	('E', 'G', 'C')	E	C	1.0	major triad	(0, 4, 7)	f	f	5	None
14.625	1.4375	4	['E2', 'E3', 'G4', 'C5', 'G5']	['P1', 'm3', 'm6', 'm3']	[True, True, True, True, True]	4.0	2.0	8.0	V	False	('E', 'G', 'C')	E	C	1.0	major triad	(0, 4, 7)	f	f	5	None
16.0625	0.0625	4	['D-3', 'D-4']	['P1']	[True, True]	4.0	2.0	8.0	V	False	('E', 'G', 'C')	E	C	1.0	major triad	(0, 4, 7)	f	f	5	None
16.125	0.5	5	['E2', 'E3']	['P1']	[True, True]	5.0	1.0	9.0	viio7/V	True	('E', 'G', 'B-', 'D-')	E	E	0.0	diminished seventh chord	(1, 4, 7, 10)	b-	F	7	5
16.625	0.375	5	['E2', 'E3']	['P1']	[False, False]	5.0	1.0	9.0	viio7/V	False	('E', 'G', 'B-', 'D-')	E	E	0.0	diminished seventh chord	(1, 4, 7, 10)	b-	F	7	5
17.0	0.125	5	['F2', 'F3', 'D-5', 'F5', 'B-5', 'D-6']	['P1', 'm6', 'P1', 'P4', 'm6']	[True, True, True, True, True, True]	5.0	1.0	9.0	viio7/V	False	('E', 'G', 'B-', 'D-')	E	E	0.0	diminished seventh chord	(1, 4, 7, 10)	b-	F	7	5
17.125	1.0	5	['F2', 'F3', 'D-5', 'F5', 'B-5', 'D-6']	['P1', 'm6', 'P1', 'P4', 'm6']	[True, True, True, True, True, True]	5.0	3.0	10.0	i	True	('F', 'B-', 'D-')	F	B-	2.0	minor triad	(1, 5, 10)	b-	b-	1	None
18.125	0.875	5	['F2', 'F3', 'D-5', 'F5', 'B-5', 'D-6']	['P1', 'm6', 'P1', 'P4', 'm6']	[False, False, False, False, False, False]	5.0	3.0	10.0	i	False	('F', 'B-', 'D-')	F	B-	2.0	minor triad	(1, 5, 10)	b-	b-	1	None
19.0	0.125	5	['F3', 'B-3', 'D-4', 'D-5', 'B-5']	['P4', 'm6', 'm6', 'P4']	[True, True, True, True, True]	5.0	3.0	10.0	i	False	('F', 'B-', 'D-')	F	B-	2.0	minor triad	(1, 5, 10)	b-	b-	1	None
19.125	0.75	5	['F3', 'B-3', 'D-4', 'D-5', 'B-5']	['P4', 'm6', 'm6', 'P4']	[True, True, True, True, True]	5.0	3.0	10.0	i	False	('F', 'B-', 'D-')	F	B-	2.0	minor triad	(1, 5, 10)	b-	b-	1	None
19.875	0.125	5	['F3', 'B-3', 'D-4', 'D-5', 'A5']	['P4', 'm6', 'm6', 'M3']	[False, False, False, False, True]	5.0	3.0	10.0	i	False	('F', 'B-', 'D-')	F	B-	2.0	minor triad	(1, 5, 10)	b-	b-	1	None
20.0	0.125	5	['F3', 'B-3', 'D-4', 'D-5', 'B-5']	['P4', 'm6', 'm6', 'P4']	[False, False, False, False, True]	5.0	3.0	10.0	i	False	('F', 'B-', 'D-')	F	B-	2.0	minor triad	(1, 5, 10)	b-	b-	1	None
20.125	0.875	6	['G-3', 'B-3', 'D-4', 'D-5', 'E-5', 'B-5']	['M3', 'P5', 'P5', 'M6', 'M3']	[True, True, True, True, True, True]	6.0	1.0	11.0	iv7	True	('G-', 'B-', 'D-', 'E-')	G-	E-	1.0	minor seventh chord	(1, 3, 6, 10)	b-	b-	4	None
21.0	0.125	6	['G-3', 'B-3', 'D-4', 'D-5', 'E-5', 'B-5']	['M3', 'P5', 'P5', 'M6', 'M3']	[True, True, True, True, True, True]	6.0	1.0	11.0	iv7	False	('G-', 'B-', 'D-', 'E-')	G-	E-	1.0	minor seventh chord	(1, 3, 6, 10)	b-	b-	4	None
21.125	1.0	6	['G-3', 'B-3', 'D-4', 'D-5', 'E-5', 'B-5']	['M3', 'P5', 'P5', 'M6', 'M3']	[True, True, True, True, True, True]	6.0	2.0	12.0	V7	True	('G', 'B-', 'D-', 'E-')	G	E-	1.0	dominant seventh chord	(1, 3, 7, 10)	A-	A-	5	None
22.125	0.875	6	['G-3', 'B-3', 'D-4', 'D-5', 'E-5', 'B-5']	['M3', 'P5', 'P5', 'M6', 'M3']	[False, False, False, False, False, False]	6.0	2.0	12.0	V7	False	('G', 'B-', 'D-', 'E-')	G	E-	1.0	dominant seventh chord	(1, 3, 7, 10)	A-	A-	5	None
23.0	0.125	6	['A-3', 'C4', 'C5', 'E-5', 'A-5']	['M3', 'M3', 'P5', 'P1']	[True, True, True, True, True]	6.0	2.0	12.0	V7	False	('G', 'B-', 'D-', 'E-')	G	E-	1.0	dominant seventh chord	(1, 3, 7, 10)	A-	A-	5	None
23.125	0.875	6	['A-3', 'C4', 'C5', 'E-5', 'A-5']	['M3', 'M3', 'P5', 'P1']	[True, True, True, True, True]	6.0	1.0	13.0	I	True	('A-', 'C', 'E-')	A-	A-	0.0	major triad	(0, 3, 8)	A-	A-	1	None
24.0	0.125	6	['A3', 'E-4', 'G-4', 'C5', 'E-5', 'G-5']	['d5', 'd7', 'm3', 'd5', 'd7']	[True, True, True, True, True, True]	6.0	1.0	13.0	I	False	('A-', 'C', 'E-')	A-	A-	0.0	major triad	(0, 3, 8)	A-	A-	1	None
24.125	0.875	7	['A3', 'E-4', 'G-4', 'C5', 'E-5', 'G-5']	['d5', 'd7', 'm3', 'd5', 'd7']	[True, True, True, True, True, True]	7.0	1.0	14.0	viio7/V	True	('A', 'C', 'E-', 'G-')	A	A	0.0	diminished seventh chord	(0, 3, 6, 9)	e-	B-	7	5
25.0	0.125	7	['B-3', 'E-4', 'G-4', 'B-4', 'E-5', 'G-5']	['P4', 'm6', 'P1', 'P4', 'm6']	[True, True, True, True, True, True]	7.0	1.0	14.0	viio7/V	False	('A', 'C', 'E-', 'G-')	A	A	0.0	diminished seventh chord	(0, 3, 6, 9)	e-	B-	7	5
25.125	1.0	7	['B-3', 'E-4', 'G-4', 'B-4', 'E-5', 'G-5']	['P4', 'm6', 'P1', 'P4', 'm6']	[True, True, True, True, True, True]	7.0	2.0	15.0	i	True	('B-', 'E-', 'G-')	B-	E-	2.0	minor triad	(3, 6, 10)	e-	e-	1	None
26.125	0.875	7	['B-3', 'E-4', 'G-4', 'B-4', 'E-5', 'G-5']	['P4', 'm6', 'P1', 'P4', 'm6']	[False, False, False, False, False, False]	7.0	2.0	15.0	i	False	('B-', 'E-', 'G-')	B-	E-	2.0	minor triad	(3, 6, 10)	e-	e-	1	None
27.0	0.125	7	['C-4', 'E-4', 'G-4', 'A4', 'E-5', 'G-5']	['M3', 'P5', 'A6', 'M3', 'P5']	[True, True, True, True, True, True]	7.0	2.0	15.0	i	False	('B-', 'E-', 'G-')	B-	E-	2.0	minor triad	(3, 6, 10)	e-	e-	1	None
27.125	0.875	7	['C-4', 'E-4', 'G-4', 'A4', 'E-5', 'G-5']	['M3', 'P5', 'A6', 'M3', 'P5']	[True, True, True, True, True, True]	7.0	1.0	16.0	Ger7	True	('C-', 'E-', 'G-', 'A')	C-	A	1.0	German augmented sixth chord	(3, 6, 9, 11)	e-	e-	#4	None
28.0	0.125	7	['C4', 'E-4', 'G-4', 'A4', 'E-5', 'G-5']	['m3', 'd5', 'M6', 'm3', 'd5']	[True, True, True, True, True, True]	7.0	1.0	16.0	Ger7	False	('C-', 'E-', 'G-', 'A')	C-	A	1.0	German augmented sixth chord	(3, 6, 9, 11)	e-	e-	#4	None
28.125	0.875	8	['C4', 'E-4', 'G-4', 'A4', 'E-5', 'G-5']	['m3', 'd5', 'M6', 'm3', 'd5']	[True, True, True, True, True, True]	8.0	1.0	17.0	viio7/vi	True	('A', 'C', 'E-', 'G-')	A	A	0.0	diminished seventh chord	(0, 3, 6, 9)	D-	b-	#7	6
29.0	0.125	8	['D-4', 'F4', 'A-4', 'D-5', 'F5']	['M3', 'P5', 'P1', 'M3']	[True, True, True, True, True]	8.0	1.0	17.0	viio7/vi	False	('A', 'C', 'E-', 'G-')	A	A	0.0	diminished seventh chord	(0, 3, 6, 9)	D-	b-	#7	6
29.125	1.0	8	['D-4', 'F4', 'A-4', 'D-5', 'F5']	['M3', 'P5', 'P1', 'M3']	[True, True, True, True, True]	8.0	2.0	18.0	I	True	('D-', 'F', 'A-')	D-	D-	0.0	major triad	(1, 5, 8)	D-	D-	1	None
30.125	0.875	8	['D-4', 'F4', 'A-4', 'D-5', 'F5']	['M3', 'P5', 'P1', 'M3']	[False, False, False, False, False]	8.0	2.0	18.0	I	False	('D-', 'F', 'A-')	D-	D-	0.0	major triad	(1, 5, 8)	D-	D-	1	None
31.0	0.125	8	['D4', 'F4', 'A-4', 'C-5', 'F5']	['m3', 'd5', 'd7', 'm3']	[True, True, True, True, True]	8.0	2.0	18.0	I	False	('D-', 'F', 'A-')	D-	D-	0.0	major triad	(1, 5, 8)	D-	D-	1	None
31.125	0.875	8	['D4', 'F4', 'A-4', 'C-5', 'F5']	['m3', 'd5', 'd7', 'm3']	[True, True, True, True, True]	8.0	1.0	19.0	viio7/V	True	('D', 'F', 'A-', 'C-')	D	D	0.0	diminished seventh chord	(2, 5, 8, 11)	A-	E-	7	5
32.0	0.125	8	['D2', 'D3', 'A-4', 'C-5', 'F5']	['P1', 'd5', 'd7', 'm3']	[True, True, True, True, True]	8.0	1.0	19.0	viio7/V	False	('D', 'F', 'A-', 'C-')	D	D	0.0	diminished seventh chord	(2, 5, 8, 11)	A-	E-	7	5
32.125	0.875	9	['D2', 'D3', 'A-4', 'C-5', 'F5']	['P1', 'd5', 'd7', 'm3']	[True, True, True, True, True]	9.0	1.0	20.0	viio7/V	True	('D', 'F', 'A-', 'C-')	D	D	0.0	diminished seventh chord	(2, 5, 8, 11)	A-	E-	7	5
33.0	0.125	9	['E-2', 'E-3', 'A-4', 'C5', 'E-5']	['P1', 'P4', 'M6', 'P1']	[True, True, True, True, True]	9.0	1.0	20.0	viio7/V	False	('D', 'F', 'A-', 'C-')	D	D	0.0	diminished seventh chord	(2, 5, 8, 11)	A-	E-	7	5
33.125	1.0	9	['E-2', 'E-3', 'A-4', 'C5', 'E-5']	['P1', 'P4', 'M6', 'P1']	[True, True, True, True, True]	9.0	3.0	21.0	I	True	('E-', 'A-', 'C')	E-	A-	2.0	major triad	(0, 3, 8)	A-	A-	1	None
34.125	0.875	9	['E-2', 'E-3', 'A-4', 'C5', 'E-5']	['P1', 'P4', 'M6', 'P1']	[False, False, False, False, False]	9.0	3.0	21.0	I	False	('E-', 'A-', 'C')	E-	A-	2.0	major triad	(0, 3, 8)	A-	A-	1	None
35.0	0.125	9	['E-2', 'E-3', 'A-4', 'C5', 'E-5']	['P1', 'P4', 'M6', 'P1']	[True, True, True, True, True]	9.0	3.0	21.0	I	False	('E-', 'A-', 'C')	E-	A-	2.0	major triad	(0, 3, 8)	A-	A-	1	None
35.125	0.875	9	['E-2', 'E-3', 'A-4', 'C5', 'E-5']	['P1', 'P4', 'M6', 'P1']	[True, True, True, True, True]	9.0	3.0	21.0	I	False	('E-', 'A-', 'C')	E-	A-	2.0	major triad	(0, 3, 8)	A-	A-	1	None
36.0	0.125	9	['E2', 'E3', 'G4', 'B-4', 'D-5']	['P1', 'm3', 'd5', 'd7']	[True, True, True, True, True]	9.0	3.0	21.0	I	False	('E-', 'A-', 'C')	E-	A-	2.0	major triad	(0, 3, 8)	A-	A-	1	None
36.125	0.875	10	['E2', 'E3', 'G4', 'B-4', 'D-5']	['P1', 'm3', 'd5', 'd7']	[True, True, True, True, True]	10.0	1.0	22.0	viio7/V	True	('E', 'G', 'B-', 'D-')	E	E	0.0	diminished seventh chord	(1, 4, 7, 10)	b-	F	7	5
37.0	0.125	10	['F2', 'F3', 'F4', 'B-4', 'D-5']	['P1', 'P1', 'P4', 'm6']	[True, True, True, True, True]	10.0	1.0	22.0	viio7/V	False	('E', 'G', 'B-', 'D-')	E	E	0.0	diminished seventh chord	(1, 4, 7, 10)	b-	F	7	5
37.125	0.875	10	['F2', 'F3', 'F4', 'B-4', 'D-5']	['P1', 'P1', 'P4', 'm6']	[True, True, True, True, True]	10.0	1.0	23.0	i	True	('F', 'B-', 'D-')	F	B-	2.0	minor triad	(1, 5, 10)	b-	b-	1	None
38.0	0.125	10	['G2', 'G3', 'E4', 'B-4', 'D-5']	['P1', 'M6', 'm3', 'd5']	[True, True, True, True, True]	10.0	1.0	23.0	i	False	('F', 'B-', 'D-')	F	B-	2.0	minor triad	(1, 5, 10)	b-	b-	1	None
38.125	0.5	10	['G2', 'G3', 'E4', 'B-4', 'D-5']	['P1', 'M6', 'm3', 'd5']	[True, True, True, True, True]	10.0	0.5	24.0	viio7/iv	True	('E', 'G', 'B-', 'D-')	E	E	0.0	diminished seventh chord	(1, 4, 7, 10)	c	f	#7	4
38.625	0.5	10	['A-2', 'A-3', 'C4', 'F4', 'C5']	['P1', 'M3', 'M6', 'M3']	[True, True, True, True, True]	10.0	1.0	25.0	iv	True	('A-', 'C', 'F')	A-	F	1.0	minor triad	(0, 5, 8)	c	c	4	None
39.125	0.5	10	['A-2', 'A-3', 'C4', 'F4', 'C5']	['P1', 'M3', 'M6', 'M3']	[True, True, True, True, True]	10.0	1.0	25.0	iv	False	('A-', 'C', 'F')	A-	F	1.0	minor triad	(0, 5, 8)	c	c	4	None
39.625	0.5	10	['A-1', 'A-2', 'C4', 'F#4', 'C5']	['P1', 'M3', 'A6', 'M3']	[True, True, True, True, True]	10.0	0.5	26.0	It	True	('A-', 'C', 'F#')	A-	F#	1.0	Italian augmented sixth chord	(0, 6, 8)	c	c	#4	None
40.125	0.5	11	['G1', 'G2', 'D4', 'G4', 'B4']	['P1', 'P5', 'P1', 'M3']	[True, True, True, True, True]	11.0	3.0	27.0	V7	True	('G', 'B', 'D', 'F')	G	G	0.0	dominant seventh chord	(2, 5, 7, 11)	c	c	5	None
40.625	0.5	11	['G3']	[]	[True]	11.0	3.0	27.0	V7	False	('G', 'B', 'D', 'F')	G	G	0.0	dominant seventh chord	(2, 5, 7, 11)	c	c	5	None
41.125	0.5	11	['G3']	[]	[True]	11.0	3.0	27.0	V7	False	('G', 'B', 'D', 'F')	G	G	0.0	dominant seventh chord	(2, 5, 7, 11)	c	c	5	None
41.625	0.5	11	['G3', 'A-3']	['m2']	[True, True]	11.0	3.0	27.0	V7	False	('G', 'B', 'D', 'F')	G	G	0.0	dominant seventh chord	(2, 5, 7, 11)	c	c	5	None
42.125	0.5	11	['F3', 'A-3']	['m3']	[True, True]	11.0	3.0	27.0	V7	False	('G', 'B', 'D', 'F')	G	G	0.0	dominant seventh chord	(2, 5, 7, 11)	c	c	5	None
42.625	0.5	11	['F3', 'G3']	['M2']	[True, True]	11.0	3.0	27.0	V7	False	('G', 'B', 'D', 'F')	G	G	0.0	dominant seventh chord	(2, 5, 7, 11)	c	c	5	None
43.125	0.5	11	['F3', 'G3', 'G4']	['M2', 'M2']	[True, True, True]	11.0	1.0	28.0	i	True	('E-', 'G', 'C')	E-	C	1.0	minor triad	(0, 3, 7)	c	c	1	None
43.625	0.5	11	['E-3', 'G3', 'C4', 'G4']	['M3', 'M6', 'M3']	[True, True, True, False]	11.0	1.0	28.0	i	False	('E-', 'G', 'C')	E-	C	1.0	minor triad	(0, 3, 7)	c	c	1	None
44.125	0.5	12	['E-3', 'G3', 'A4']	['M3', 'A4']	[True, True, True]	12.0	1.0	29.0	viio7/V	True	('E-', 'F#', 'A', 'C')	E-	F#	3.0	diminished seventh chord	(0, 3, 6, 9)	c	G	7	5
44.625	0.5	12	['E-3', 'G3', 'A4']	['M3', 'A4']	[False, True, False]	12.0	1.0	29.0	viio7/V	False	('E-', 'F#', 'A', 'C')	E-	F#	3.0	diminished seventh chord	(0, 3, 6, 9)	c	G	7	5
45.125	0.5	12	['D3', 'G3', 'D4', 'F4', 'B4']	['P4', 'P1', 'm3', 'M6']	[True, True, True, True, True]	12.0	1.0	30.0	V7	True	('D', 'F', 'G', 'B')	D	G	2.0	dominant seventh chord	(2, 5, 7, 11)	c	c	5	None
45.625	0.5	12	['D3', 'G3', 'D4', 'F4', 'B4']	['P4', 'P1', 'm3', 'M6']	[False, True, False, False, False]	12.0	1.0	30.0	V7	False	('D', 'F', 'G', 'B')	D	G	2.0	dominant seventh chord	(2, 5, 7, 11)	c	c	5	None
46.125	0.5	12	['C3', 'G3', 'E-4', 'G4', 'C5']	['P5', 'm3', 'P5', 'P1']	[True, True, True, True, True]	12.0	1.0	31.0	i	True	('C', 'E-', 'G')	C	C	0.0	minor triad	(0, 3, 7)	c	c	1	None
46.625	0.5	12	['C3', 'G3', 'E-4', 'G4', 'C5']	['P5', 'm3', 'P5', 'P1']	[False, True, False, False, False]	12.0	1.0	31.0	i	False	('C', 'E-', 'G')	C	C	0.0	minor triad	(0, 3, 7)	c	c	1	None
47.125	0.5	12	['F#2', 'G3', 'E-4', 'A4', 'C5']	['m2', 'd7', 'm3', 'd5']	[True, True, True, True, True]	12.0	1.0	32.0	viio7/V	True	('F#', 'A', 'C', 'E-')	F#	F#	0.0	diminished seventh chord	(0, 3, 6, 9)	c	G	7	5
47.625	0.375	12	['F#2', 'G3', 'E-4', 'A4', 'C5']	['m2', 'd7', 'm3', 'd5']	[False, True, False, False, False]	12.0	1.0	32.0	viio7/V	False	('F#', 'A', 'C', 'E-')	F#	F#	0.0	diminished seventh chord	(0, 3, 6, 9)	c	G	7	5
48.0	0.125	12	['G2', 'G3', 'D4', 'G4', 'B4']	['P1', 'P5', 'P1', 'M3']	[True, False, True, True, True]	12.0	1.0	32.0	viio7/V	False	('F#', 'A', 'C', 'E-')	F#	F#	0.0	diminished seventh chord	(0, 3, 6, 9)	c	G	7	5
48.125	0.5	13	['G2', 'G3', 'D4', 'G4', 'B4']	['P1', 'P5', 'P1', 'M3']	[True, False, True, True, True]	13.0	3.0	33.0	V7	True	('G', 'B', 'D', 'F')	G	G	0.0	dominant seventh chord	(2, 5, 7, 11)	c	c	5	None
48.625	0.5	13	['G2', 'D4', 'G4', 'B4']	['P5', 'P1', 'M3']	[True, False, False, False]	13.0	3.0	33.0	V7	False	('G', 'B', 'D', 'F')	G	G	0.0	dominant seventh chord	(2, 5, 7, 11)	c	c	5	None
49.125	0.5	13	['G2', 'D4', 'G4', 'B4']	['P5', 'P1', 'M3']	[True, False, False, False]	13.0	3.0	33.0	V7	False	('G', 'B', 'D', 'F')	G	G	0.0	dominant seventh chord	(2, 5, 7, 11)	c	c	5	None
49.625	0.5	13	['G2', 'A-2']	['m2']	[True, True]	13.0	3.0	33.0	V7	False	('G', 'B', 'D', 'F')	G	G	0.0	dominant seventh chord	(2, 5, 7, 11)	c	c	5	None
50.125	0.5	13	['F2', 'A-2']	['m3']	[True, True]	13.0	3.0	33.0	V7	False	('G', 'B', 'D', 'F')	G	G	0.0	dominant seventh chord	(2, 5, 7, 11)	c	c	5	None
50.625	0.5	13	['F2', 'G2']	['M2']	[True, True]	13.0	3.0	33.0	V7	False	('G', 'B', 'D', 'F')	G	G	0.0	dominant seventh chord	(2, 5, 7, 11)	c	c	5	None
51.125	0.5	13	['F2', 'G2', 'G3']	['M2', 'M2']	[True, True, True]	13.0	1.0	34.0	i	True	('E-', 'G', 'C')	E-	C	1.0	minor triad	(0, 3, 7)	c	c	1	None
