onset_div	duration_div	pitch	step	alter	ts_beats	ts_beat_type	staff	voice	is_note_onset	beat	ks_fifths	mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	duration	section_start	octave	is_harmony_onset	cadence	cadence_type	phraseend	unfolded_harmony_index	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	globalkey_tpc	localkey_tpc	tonicized_tpc
60	6	72	C	0	2	2	1	1	True	1.5	-4	4	3	4	3a	10	1/4	False	5	False				1	V65		f	i		V65		V		65			Mm7	True	True	(5, 2, -1, 1)	()	1	5	minor	minor	i	i, minor	V		i	i	True	V65	V65, minor		V65, minor		V	-1	-1	-1
66	6	76	E	0	2	2	1	1	True	2.0	-4	4	3	4	3a	11	1/4	False	5	False				1	V65		f	i		V65		V		65			Mm7	True	True	(5, 2, -1, 1)	()	1	5	minor	minor	i	i, minor	V		i	i	True	V65	V65, minor		V65, minor		V	-1	-1	-1
72	6	79	G	0	2	2	1	1	True	2.5	-4	4	3	4	3a	12	1/4	False	5	False				1	V65		f	i		V65		V		65			Mm7	True	True	(5, 2, -1, 1)	()	1	5	minor	minor	i	i, minor	V		i	i	True	V65	V65, minor		V65, minor		V	-1	-1	-1
78	9	82	B	-1	2	2	1	1	True	1.0	-4	5	4	5	4a	13	3/8	True	5	False				1	V65		f	i		V65		V		65			Mm7	True	True	(5, 2, -1, 1)	()	1	5	minor	minor	i	i, minor	V		i	i	True	V65	V65, minor		V65, minor		V	-1	-1	-1
84	6	52	E	0	2	2	2	1	True	1.5	-4	5	4	5	4a	14	1/4	False	3	False				1	V65		f	i		V65		V		65			Mm7	True	True	(5, 2, -1, 1)	()	1	5	minor	minor	i	i, minor	V		i	i	True	V65	V65, minor		V65, minor		V	-1	-1	-1
84	6	55	G	0	2	2	2	1	True	1.5	-4	5	4	5	4a	14	1/4	False	3	False				1	V65		f	i		V65		V		65			Mm7	True	True	(5, 2, -1, 1)	()	1	5	minor	minor	i	i, minor	V		i	i	True	V65	V65, minor		V65, minor		V	-1	-1	-1
84	6	58	B	-1	2	2	2	1	True	1.5	-4	5	4	5	4a	14	1/4	False	3	False				1	V65		f	i		V65		V		65			Mm7	True	True	(5, 2, -1, 1)	()	1	5	minor	minor	i	i, minor	V		i	i	True	V65	V65, minor		V65, minor		V	-1	-1	-1
84	6	60	C	0	2	2	2	1	True	1.5	-4	5	4	5	4a	14	1/4	False	4	False				1	V65		f	i		V65		V		65			Mm7	True	True	(5, 2, -1, 1)	()	1	5	minor	minor	i	i, minor	V		i	i	True	V65	V65, minor		V65, minor		V	-1	-1	-1
87	1	80	A	-1	2	2	1	1	True	1.75	-4	5	4	5	4a	29/2	1/24	False	5	False				1	V65		f	i		V65		V		65			Mm7	True	True	(5, 2, -1, 1)	()	1	5	minor	minor	i	i, minor	V		i	i	True	V65	V65, minor		V65, minor		V	-1	-1	-1
88	1	79	G	0	2	2	1	1	True	1.833	-4	5	4	5	4a	44/3	1/24	False	5	False				1	V65		f	i		V65		V		65			Mm7	True	True	(5, 2, -1, 1)	()	1	5	minor	minor	i	i, minor	V		i	i	True	V65	V65, minor		V65, minor		V	-1	-1	-1
89	1	77	F	0	2	2	1	1	True	1.917	-4	5	4	5	4a	89/6	1/24	False	5	False				1	V65		f	i		V65		V		65			Mm7	True	True	(5, 2, -1, 1)	()	1	5	minor	minor	i	i, minor	V		i	i	True	V65	V65, minor		V65, minor		V	-1	-1	-1
90	6	52	E	0	2	2	2	1	True	2.0	-4	5	4	5	4a	15	1/4	False	3	False				1	V65		f	i		V65		V		65			Mm7	True	True	(5, 2, -1, 1)	()	1	5	minor	minor	i	i, minor	V		i	i	True	V65	V65, minor		V65, minor		V	-1	-1	-1
90	6	55	G	0	2	2	2	1	True	2.0	-4	5	4	5	4a	15	1/4	False	3	False				1	V65		f	i		V65		V		65			Mm7	True	True	(5, 2, -1, 1)	()	1	5	minor	minor	i	i, minor	V		i	i	True	V65	V65, minor		V65, minor		V	-1	-1	-1
90	6	58	B	-1	2	2	2	1	True	2.0	-4	5	4	5	4a	15	1/4	False	3	False				1	V65		f	i		V65		V		65			Mm7	True	True	(5, 2, -1, 1)	()	1	5	minor	minor	i	i, minor	V		i	i	True	V65	V65, minor		V65, minor		V	-1	-1	-1
90	6	60	C	0	2	2	2	1	True	2.0	-4	5	4	5	4a	15	1/4	False	4	False				1	V65		f	i		V65		V		65			Mm7	True	True	(5, 2, -1, 1)	()	1	5	minor	minor	i	i, minor	V		i	i	True	V65	V65, minor		V65, minor		V	-1	-1	-1
90	6	79	G	0	2	2	1	1	True	2.0	-4	5	4	5	4a	15	1/4	False	5	False				1	V65		f	i		V65		V		65			Mm7	True	True	(5, 2, -1, 1)	()	1	5	minor	minor	i	i, minor	V		i	i	True	V65	V65, minor		V65, minor		V	-1	-1	-1
96	6	52	E	0	2	2	2	1	True	2.5	-4	5	4	5	4a	16	1/4	False	3	False				1	V65		f	i		V65		V		65			Mm7	True	True	(5, 2, -1, 1)	()	1	5	minor	minor	i	i, minor	V		i	i	True	V65	V65, minor		V65, minor		V	-1	-1	-1
96	6	55	G	0	2	2	2	1	True	2.5	-4	5	4	5	4a	16	1/4	False	3	False				1	V65		f	i		V65		V		65			Mm7	True	True	(5, 2, -1, 1)	()	1	5	minor	minor	i	i, minor	V		i	i	True	V65	V65, minor		V65, minor		V	-1	-1	-1
96	6	58	B	-1	2	2	2	1	True	2.5	-4	5	4	5	4a	16	1/4	False	3	False				1	V65		f	i		V65		V		65			Mm7	True	True	(5, 2, -1, 1)	()	1	5	minor	minor	i	i, minor	V		i	i	True	V65	V65, minor		V65, minor		V	-1	-1	-1
96	6	60	C	0	2	2	2	1	True	2.5	-4	5	4	5	4a	16	1/4	False	4	False				1	V65		f	i		V65		V		65			Mm7	True	True	(5, 2, -1, 1)	()	1	5	minor	minor	i	i, minor	V		i	i	True	V65	V65, minor		V65, minor		V	-1	-1	-1
102	0	72	C	0	2	2	1	1	True	1.0	-4	6	5	6	5a	17	0	True	5	True				2	i		f	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	-1	-1	-1
102	9	80	A	-1	2	2	1	1	True	1.0	-4	6	5	6	5a	17	3/8	True	5	True				2	i		f	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	-1	-1	-1
108	6	53	F	0	2	2	2	1	True	1.5	-4	6	5	6	5a	18	1/4	False	3	False				2	i		f	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	-1	-1	-1
108	6	56	A	-1	2	2	2	1	True	1.5	-4	6	5	6	5a	18	1/4	False	3	False				2	i		f	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	-1	-1	-1
108	6	60	C	0	2	2	2	1	True	1.5	-4	6	5	6	5a	18	1/4	False	4	False				2	i		f	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	-1	-1	-1
111	1	79	G	0	2	2	1	1	True	1.75	-4	6	5	6	5a	37/2	1/24	False	5	False				2	i		f	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	-1	-1	-1
112	1	77	F	0	2	2	1	1	True	1.833	-4	6	5	6	5a	56/3	1/24	False	5	False				2	i		f	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	-1	-1	-1
113	1	76	E	0	2	2	1	1	True	1.917	-4	6	5	6	5a	113/6	1/24	False	5	False				2	i		f	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	-1	-1	-1
114	6	53	F	0	2	2	2	1	True	2.0	-4	6	5	6	5a	19	1/4	False	3	False				2	i		f	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	-1	-1	-1
114	6	56	A	-1	2	2	2	1	True	2.0	-4	6	5	6	5a	19	1/4	False	3	False				2	i		f	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	-1	-1	-1
114	6	60	C	0	2	2	2	1	True	2.0	-4	6	5	6	5a	19	1/4	False	4	False				2	i		f	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	-1	-1	-1
114	6	77	F	0	2	2	1	1	True	2.0	-4	6	5	6	5a	19	1/4	False	5	False				2	i		f	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	-1	-1	-1
120	6	53	F	0	2	2	2	1	True	2.5	-4	6	5	6	5a	20	1/4	False	3	False				2	i		f	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	-1	-1	-1
120	6	56	A	-1	2	2	2	1	True	2.5	-4	6	5	6	5a	20	1/4	False	3	False				2	i		f	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	-1	-1	-1
120	6	60	C	0	2	2	2	1	True	2.5	-4	6	5	6	5a	20	1/4	False	4	False				2	i		f	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	-1	-1	-1
126	0	72	C	0	2	2	1	1	True	1.0	-4	7	6	7	6a	21	0	True	5	True				3	#viio6		f	i		#viio6		#vii	o	6			o	True	True	(2, -1, 5)	()	5	2	minor	minor	i	i, minor	#vii		i	i	True	#viio6	#viio6, minor		#viio6, minor		#vii	-1	-1	-1
126	9	82	B	-1	2	2	1	1	True	1.0	-4	7	6	7	6a	21	3/8	True	5	True				3	#viio6		f	i		#viio6		#vii	o	6			o	True	True	(2, -1, 5)	()	5	2	minor	minor	i	i, minor	#vii		i	i	True	#viio6	#viio6, minor		#viio6, minor		#vii	-1	-1	-1
132	6	55	G	0	2	2	2	1	True	1.5	-4	7	6	7	6a	22	1/4	False	3	False				3	#viio6		f	i		#viio6		#vii	o	6			o	True	True	(2, -1, 5)	()	5	2	minor	minor	i	i, minor	#vii		i	i	True	#viio6	#viio6, minor		#viio6, minor		#vii	-1	-1	-1
132	6	58	B	-1	2	2	2	1	True	1.5	-4	7	6	7	6a	22	1/4	False	3	False				3	#viio6		f	i		#viio6		#vii	o	6			o	True	True	(2, -1, 5)	()	5	2	minor	minor	i	i, minor	#vii		i	i	True	#viio6	#viio6, minor		#viio6, minor		#vii	-1	-1	-1
132	6	64	E	0	2	2	2	1	True	1.5	-4	7	6	7	6a	22	1/4	False	4	False				3	#viio6		f	i		#viio6		#vii	o	6			o	True	True	(2, -1, 5)	()	5	2	minor	minor	i	i, minor	#vii		i	i	True	#viio6	#viio6, minor		#viio6, minor		#vii	-1	-1	-1
135	1	80	A	-1	2	2	1	1	True	1.75	-4	7	6	7	6a	45/2	1/24	False	5	False				3	#viio6		f	i		#viio6		#vii	o	6			o	True	True	(2, -1, 5)	()	5	2	minor	minor	i	i, minor	#vii		i	i	True	#viio6	#viio6, minor		#viio6, minor		#vii	-1	-1	-1
136	1	79	G	0	2	2	1	1	True	1.833	-4	7	6	7	6a	68/3	1/24	False	5	False				3	#viio6		f	i		#viio6		#vii	o	6			o	True	True	(2, -1, 5)	()	5	2	minor	minor	i	i, minor	#vii		i	i	True	#viio6	#viio6, minor		#viio6, minor		#vii	-1	-1	-1
137	1	77	F	0	2	2	1	1	True	1.917	-4	7	6	7	6a	137/6	1/24	False	5	False				3	#viio6		f	i		#viio6		#vii	o	6			o	True	True	(2, -1, 5)	()	5	2	minor	minor	i	i, minor	#vii		i	i	True	#viio6	#viio6, minor		#viio6, minor		#vii	-1	-1	-1
138	6	55	G	0	2	2	2	1	True	2.0	-4	7	6	7	6a	23	1/4	False	3	False				3	#viio6		f	i		#viio6		#vii	o	6			o	True	True	(2, -1, 5)	()	5	2	minor	minor	i	i, minor	#vii		i	i	True	#viio6	#viio6, minor		#viio6, minor		#vii	-1	-1	-1
138	6	58	B	-1	2	2	2	1	True	2.0	-4	7	6	7	6a	23	1/4	False	3	False				3	#viio6		f	i		#viio6		#vii	o	6			o	True	True	(2, -1, 5)	()	5	2	minor	minor	i	i, minor	#vii		i	i	True	#viio6	#viio6, minor		#viio6, minor		#vii	-1	-1	-1
138	6	64	E	0	2	2	2	1	True	2.0	-4	7	6	7	6a	23	1/4	False	4	False				3	#viio6		f	i		#viio6		#vii	o	6			o	True	True	(2, -1, 5)	()	5	2	minor	minor	i	i, minor	#vii		i	i	True	#viio6	#viio6, minor		#viio6, minor		#vii	-1	-1	-1
138	6	79	G	0	2	2	1	1	True	2.0	-4	7	6	7	6a	23	1/4	False	5	False				3	#viio6		f	i		#viio6		#vii	o	6			o	True	True	(2, -1, 5)	()	5	2	minor	minor	i	i, minor	#vii		i	i	True	#viio6	#viio6, minor		#viio6, minor		#vii	-1	-1	-1
144	6	55	G	0	2	2	2	1	True	2.5	-4	7	6	7	6a	24	1/4	False	3	False				3	#viio6		f	i		#viio6		#vii	o	6			o	True	True	(2, -1, 5)	()	5	2	minor	minor	i	i, minor	#vii		i	i	True	#viio6	#viio6, minor		#viio6, minor		#vii	-1	-1	-1
144	6	58	B	-1	2	2	2	1	True	2.5	-4	7	6	7	6a	24	1/4	False	3	False				3	#viio6		f	i		#viio6		#vii	o	6			o	True	True	(2, -1, 5)	()	5	2	minor	minor	i	i, minor	#vii		i	i	True	#viio6	#viio6, minor		#viio6, minor		#vii	-1	-1	-1
144	6	64	E	0	2	2	2	1	True	2.5	-4	7	6	7	6a	24	1/4	False	4	False				3	#viio6		f	i		#viio6		#vii	o	6			o	True	True	(2, -1, 5)	()	5	2	minor	minor	i	i, minor	#vii		i	i	True	#viio6	#viio6, minor		#viio6, minor		#vii	-1	-1	-1
150	12	72	C	0	2	2	1	1	True	1.0	-4	8	7	8	7a	25	1/2	True	5	True				4	i6		f	i		i6		i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	-1	-1	-1
150	12	77	F	0	2	2	1	1	True	1.0	-4	8	7	8	7a	25	1/2	True	5	True				4	i6		f	i		i6		i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	-1	-1	-1
150	12	80	A	-1	2	2	1	1	True	1.0	-4	8	7	8	7a	25	1/2	True	5	True				4	i6		f	i		i6		i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	-1	-1	-1
150	12	84	C	0	2	2	1	1	True	1.0	-4	8	7	8	7a	25	1/2	True	6	True				4	i6		f	i		i6		i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	-1	-1	-1
156	6	56	A	-1	2	2	2	1	True	1.5	-4	8	7	8	7a	26	1/4	False	3	False				4	i6		f	i		i6		i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	-1	-1	-1
156	6	60	C	0	2	2	2	1	True	1.5	-4	8	7	8	7a	26	1/4	False	4	False				4	i6		f	i		i6		i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	-1	-1	-1
156	6	65	F	0	2	2	2	1	True	1.5	-4	8	7	8	7a	26	1/4	False	4	False				4	i6		f	i		i6		i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	-1	-1	-1
162	3	82	B	-1	2	2	1	1	True	2.0	-4	8	7	8	7a	27	1/8	False	5	True				5	iio6		f	i		iio6		ii	o	6			o	True	True	(-1, -4, 2)	()	2	-1	minor	minor	i	i, minor	ii		i	i	True	iio6	iio6, minor		iio6, minor		ii	-1	-1	-1
165	3	80	A	-1	2	2	1	1	True	2.25	-4	8	7	8	7a	55/2	1/8	False	5	False				5	iio6		f	i		iio6		ii	o	6			o	True	True	(-1, -4, 2)	()	2	-1	minor	minor	i	i, minor	ii		i	i	True	iio6	iio6, minor		iio6, minor		ii	-1	-1	-1
168	6	58	B	-1	2	2	2	1	True	2.5	-4	8	7	8	7a	28	1/4	False	3	False				5	iio6		f	i		iio6		ii	o	6			o	True	True	(-1, -4, 2)	()	2	-1	minor	minor	i	i, minor	ii		i	i	True	iio6	iio6, minor		iio6, minor		ii	-1	-1	-1
168	6	61	D	-1	2	2	2	1	True	2.5	-4	8	7	8	7a	28	1/4	False	4	False				5	iio6		f	i		iio6		ii	o	6			o	True	True	(-1, -4, 2)	()	2	-1	minor	minor	i	i, minor	ii		i	i	True	iio6	iio6, minor		iio6, minor		ii	-1	-1	-1
168	6	67	G	0	2	2	2	1	True	2.5	-4	8	7	8	7a	28	1/4	False	4	False				5	iio6		f	i		iio6		ii	o	6			o	True	True	(-1, -4, 2)	()	2	-1	minor	minor	i	i, minor	ii		i	i	True	iio6	iio6, minor		iio6, minor		ii	-1	-1	-1
168	3	79	G	0	2	2	1	1	True	2.5	-4	8	7	8	7a	28	1/8	False	5	False				5	iio6		f	i		iio6		ii	o	6			o	True	True	(-1, -4, 2)	()	2	-1	minor	minor	i	i, minor	ii		i	i	True	iio6	iio6, minor		iio6, minor		ii	-1	-1	-1
171	3	77	F	0	2	2	1	1	True	2.75	-4	8	7	8	7a	57/2	1/8	False	5	False				5	iio6		f	i		iio6		ii	o	6			o	True	True	(-1, -4, 2)	()	2	-1	minor	minor	i	i, minor	ii		i	i	True	iio6	iio6, minor		iio6, minor		ii	-1	-1	-1
174	0	76	E	0	2	2	1	1	True	1.0	-4	9	8	9	8a	29	0	True	5	True			}	6	V(4)}		f	i		V(4)		V			4		M	True	True	(1, 0, 2)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V(4), minor		V	-1	-1	-1
174	0	77	F	0	2	2	1	1	True	1.0	-4	9	8	9	8a	29	0	True	5	True			}	6	V(4)}		f	i		V(4)		V			4		M	True	True	(1, 0, 2)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V(4), minor		V	-1	-1	-1
174	0	79	G	0	2	2	1	1	True	1.0	-4	9	8	9	8a	29	0	True	5	True			}	6	V(4)}		f	i		V(4)		V			4		M	True	True	(1, 0, 2)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V(4), minor		V	-1	-1	-1
174	6	77	F	0	2	2	1	1	True	1.0	-4	9	8	9	8a	29	1/4	True	5	True			}	6	V(4)}		f	i		V(4)		V			4		M	True	True	(1, 0, 2)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V(4), minor		V	-1	-1	-1
180	6	60	C	0	2	2	2	1	True	1.5	-4	9	8	9	8a	30	1/4	False	4	True	HC	HC		7	V|HC		f	i		V		V					M	True	True	(1, 5, 2)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V, minor		V	-1	-1	-1
180	6	67	G	0	2	2	2	1	True	1.5	-4	9	8	9	8a	30	1/4	False	4	True	HC	HC		7	V|HC		f	i		V		V					M	True	True	(1, 5, 2)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V, minor		V	-1	-1	-1
180	6	76	E	0	2	2	1	1	True	1.5	-4	9	8	9	8a	30	1/4	False	5	True	HC	HC		7	V|HC		f	i		V		V					M	True	True	(1, 5, 2)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V, minor		V	-1	-1	-1
192	6	43	G	0	2	2	2	1	True	2.5	-4	9	8	9	8a	32	1/4	False	2	True			{	8	v{		f	i		v		v					m	True	True	(1, -2, 2)	()	1	1	minor	minor	i	i, minor	v		i	i	True	v	v, minor		v, minor		v	-1	-1	-1
