onset_div	duration_div	pitch	step	alter	ts_beats	ts_beat_type	staff	voice	mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	duration	octave
84	6	55	G	0	2	2	2	1	5	4	5	4a	14	1/4	3
84	6	58	B	-1	2	2	2	1	5	4	5	4a	14	1/4	3
84	6	60	C	0	2	2	2	1	5	4	5	4a	14	1/4	4
87	1	80	A	-1	2	2	1	1	5	4	5	4a	29/2	1/24	5
88	1	79	G	0	2	2	1	1	5	4	5	4a	44/3	1/24	5
89	1	77	F	0	2	2	1	1	5	4	5	4a	89/6	1/24	5
90	6	52	E	0	2	2	2	1	5	4	5	4a	15	1/4	3
90	6	55	G	0	2	2	2	1	5	4	5	4a	15	1/4	3
90	6	58	B	-1	2	2	2	1	5	4	5	4a	15	1/4	3
90	6	60	C	0	2	2	2	1	5	4	5	4a	15	1/4	4
90	6	79	G	0	2	2	1	1	5	4	5	4a	15	1/4	5
96	6	52	E	0	2	2	2	1	5	4	5	4a	16	1/4	3
96	6	55	G	0	2	2	2	1	5	4	5	4a	16	1/4	3
96	6	58	B	-1	2	2	2	1	5	4	5	4a	16	1/4	3
96	6	60	C	0	2	2	2	1	5	4	5	4a	16	1/4	4
102	0	72	C	0	2	2	1	1	6	5	6	5a	17	0	5
102	9	80	A	-1	2	2	1	1	6	5	6	5a	17	3/8	5
108	6	53	F	0	2	2	2	1	6	5	6	5a	18	1/4	3
108	6	56	A	-1	2	2	2	1	6	5	6	5a	18	1/4	3
108	6	60	C	0	2	2	2	1	6	5	6	5a	18	1/4	4
111	1	79	G	0	2	2	1	1	6	5	6	5a	37/2	1/24	5
112	1	77	F	0	2	2	1	1	6	5	6	5a	56/3	1/24	5
113	1	76	E	0	2	2	1	1	6	5	6	5a	113/6	1/24	5
114	6	53	F	0	2	2	2	1	6	5	6	5a	19	1/4	3
114	6	56	A	-1	2	2	2	1	6	5	6	5a	19	1/4	3
114	6	60	C	0	2	2	2	1	6	5	6	5a	19	1/4	4
114	6	77	F	0	2	2	1	1	6	5	6	5a	19	1/4	5
120	6	53	F	0	2	2	2	1	6	5	6	5a	20	1/4	3
120	6	56	A	-1	2	2	2	1	6	5	6	5a	20	1/4	3
120	6	60	C	0	2	2	2	1	6	5	6	5a	20	1/4	4
126	0	72	C	0	2	2	1	1	7	6	7	6a	21	0	5
126	9	82	B	-1	2	2	1	1	7	6	7	6a	21	3/8	5
132	6	55	G	0	2	2	2	1	7	6	7	6a	22	1/4	3
132	6	58	B	-1	2	2	2	1	7	6	7	6a	22	1/4	3
132	6	64	E	0	2	2	2	1	7	6	7	6a	22	1/4	4
135	1	80	A	-1	2	2	1	1	7	6	7	6a	45/2	1/24	5
136	1	79	G	0	2	2	1	1	7	6	7	6a	68/3	1/24	5
137	1	77	F	0	2	2	1	1	7	6	7	6a	137/6	1/24	5
138	6	55	G	0	2	2	2	1	7	6	7	6a	23	1/4	3
138	6	58	B	-1	2	2	2	1	7	6	7	6a	23	1/4	3
138	6	64	E	0	2	2	2	1	7	6	7	6a	23	1/4	4
138	6	79	G	0	2	2	1	1	7	6	7	6a	23	1/4	5
144	6	55	G	0	2	2	2	1	7	6	7	6a	24	1/4	3
144	6	58	B	-1	2	2	2	1	7	6	7	6a	24	1/4	3
144	6	64	E	0	2	2	2	1	7	6	7	6a	24	1/4	4
150	12	72	C	0	2	2	1	1	8	7	8	7a	25	1/2	5
150	12	77	F	0	2	2	1	1	8	7	8	7a	25	1/2	5
150	12	80	A	-1	2	2	1	1	8	7	8	7a	25	1/2	5
150	12	84	C	0	2	2	1	1	8	7	8	7a	25	1/2	6
156	6	56	A	-1	2	2	2	1	8	7	8	7a	26	1/4	3
156	6	60	C	0	2	2	2	1	8	7	8	7a	26	1/4	4
156	6	65	F	0	2	2	2	1	8	7	8	7a	26	1/4	4
162	3	82	B	-1	2	2	1	1	8	7	8	7a	27	1/8	5
165	3	80	A	-1	2	2	1	1	8	7	8	7a	55/2	1/8	5
168	6	58	B	-1	2	2	2	1	8	7	8	7a	28	1/4	3
168	6	61	D	-1	2	2	2	1	8	7	8	7a	28	1/4	4
168	6	67	G	0	2	2	2	1	8	7	8	7a	28	1/4	4
168	3	79	G	0	2	2	1	1	8	7	8	7a	28	1/8	5
171	3	77	F	0	2	2	1	1	8	7	8	7a	57/2	1/8	5
174	0	76	E	0	2	2	1	1	9	8	9	8a	29	0	5
174	0	77	F	0	2	2	1	1	9	8	9	8a	29	0	5
174	0	79	G	0	2	2	1	1	9	8	9	8a	29	0	5
174	6	77	F	0	2	2	1	1	9	8	9	8a	29	1/4	5
180	6	60	C	0	2	2	2	1	9	8	9	8a	30	1/4	4
180	6	67	G	0	2	2	2	1	9	8	9	8a	30	1/4	4
180	6	76	E	0	2	2	1	1	9	8	9	8a	30	1/4	5
192	6	43	G	0	2	2	2	1	9	8	9	8a	32	1/4	2
198	6	48	C	0	2	2	2	1	10	9	10	9a	33	1/4	3
204	6	51	E	-1	2	2	2	1	10	9	10	9a	34	1/4	3
210	6	55	G	0	2	2	2	1	10	9	10	9a	35	1/4	3
216	6	60	C	0	2	2	2	1	10	9	10	9a	36	1/4	4
222	9	63	E	-1	2	2	2	1	11	10	11	10a	37	3/8	4
231	1	62	D	0	2	2	2	1	11	10	11	10a	77/2	1/24	4
232	1	60	C	0	2	2	2	1	11	10	11	10a	116/3	1/24	4
233	1	59	B	0	2	2	2	1	11	10	11	10a	233/6	1/24	3
234	6	60	C	0	2	2	2	1	11	10	11	10a	39	1/4	4
240	6	60	C	0	2	2	2	1	11	10	11	10a	40	1/4	4
246	24	60	C	0	2	2	2	1	12	11	12	11a	41	1	4
246	24	65	F	0	2	2	2	1	12	11	12	11a	41	1	4
246	24	68	A	-1	2	2	1	2	12	11	12	11a	41	1	4
255	1	75	E	-1	2	2	1	1	12	11	12	11a	85/2	1/24	5
256	1	73	D	-1	2	2	1	1	12	11	12	11a	128/3	1/24	5
257	1	72	C	0	2	2	1	1	12	11	12	11a	257/6	1/24	5
258	6	73	D	-1	2	2	1	1	12	11	12	11a	43	1/4	5
264	6	73	D	-1	2	2	1	1	12	11	12	11a	44	1/4	5
270	24	58	B	-1	2	2	2	1	13	12	13	12a	45	1	3
270	24	65	F	0	2	2	2	1	13	12	13	12a	45	1	4
270	9	68	A	-1	2	2	1	2	13	12	13	12a	45	3/8	4
270	24	73	D	-1	2	2	1	1	13	12	13	12a	45	1	5
279	1	70	B	-1	2	2	1	2	13	12	13	12a	93/2	1/24	4
280	1	68	A	-1	2	2	1	2	13	12	13	12a	140/3	1/24	4
281	1	67	G	0	2	2	1	2	13	12	13	12a	281/6	1/24	4
282	6	68	A	-1	2	2	1	2	13	12	13	12a	47	1/4	4
288	6	68	A	-1	2	2	1	2	13	12	13	12a	48	1/4	4
294	24	58	B	-1	2	2	2	1	14	13	14	13a	49	1	3
294	24	63	E	-1	2	2	2	1	14	13	14	13a	49	1	4
294	24	67	G	0	2	2	1	2	14	13	14	13a	49	1	4
294	9	73	D	-1	2	2	1	1	14	13	14	13a	49	3/8	5
303	1	75	E	-1	2	2	1	1	14	13	14	13a	101/2	1/24	5
304	1	73	D	-1	2	2	1	1	14	13	14	13a	152/3	1/24	5
305	1	72	C	0	2	2	1	1	14	13	14	13a	305/6	1/24	5
306	6	73	D	-1	2	2	1	1	14	13	14	13a	51	1/4	5
312	6	73	D	-1	2	2	1	1	14	13	14	13a	52	1/4	5
318	24	56	A	-1	2	2	2	1	15	14	15	14a	53	1	3
318	24	63	E	-1	2	2	2	1	15	14	15	14a	53	1	4
318	24	68	A	-1	2	2	1	2	15	14	15	14a	53	1	4
327	1	73	D	-1	2	2	1	1	15	14	15	14a	109/2	1/24	5
328	1	72	C	0	2	2	1	1	15	14	15	14a	164/3	1/24	5
329	1	71	B	0	2	2	1	1	15	14	15	14a	329/6	1/24	4
330	6	72	C	0	2	2	1	1	15	14	15	14a	55	1/4	5
336	6	72	C	0	2	2	1	1	15	14	15	14a	56	1/4	5
342	12	61	D	-1	2	2	2	1	16	15	16	15a	57	1/2	4
342	24	65	F	0	2	2	1	2	16	15	16	15a	57	1	4
342	6	72	C	0	2	2	1	1	16	15	16	15a	57	1/4	5
348	12	70	B	-1	2	2	1	1	16	15	16	15a	58	1/2	4
354	12	62	D	0	2	2	2	1	16	15	16	15a	59	1/2	4
360	6	68	A	-1	2	2	1	1	16	15	16	15a	60	1/4	4
366	6	63	E	-1	2	2	2	1	17	16	17	16a	61	1/4	4
366	6	67	G	0	2	2	1	1	17	16	17	16a	61	1/4	4
372	6	75	E	-1	2	2	1	1	17	16	17	16a	62	1/4	5
378	6	73	D	-1	2	2	1	1	17	16	17	16a	63	1/4	5
384	6	60	C	0	2	2	2	1	17	16	17	16a	64	1/4	4
384	6	63	E	-1	2	2	2	1	17	16	17	16a	64	1/4	4
384	6	72	C	0	2	2	1	1	17	16	17	16a	64	1/4	5
390	12	61	D	-1	2	2	2	1	18	17	18	17a	65	1/2	4
390	12	65	F	0	2	2	2	1	18	17	18	17a	65	1/2	4
390	6	72	C	0	2	2	1	1	18	17	18	17a	65	1/4	5
396	12	70	B	-1	2	2	1	1	18	17	18	17a	66	1/2	4
402	12	62	D	0	2	2	2	1	18	17	18	17a	67	1/2	4
402	12	65	F	0	2	2	2	1	18	17	18	17a	67	1/2	4
408	6	68	A	-1	2	2	1	1	18	17	18	17a	68	1/4	4
414	6	63	E	-1	2	2	2	1	19	18	19	18a	69	1/4	4
414	6	67	G	0	2	2	1	1	19	18	19	18a	69	1/4	4
420	6	63	E	-1	2	2	1	1	19	18	19	18a	70	1/4	4
420	6	75	E	-1	2	2	1	1	19	18	19	18a	70	1/4	5
426	6	61	D	-1	2	2	1	1	19	18	19	18a	71	1/4	4
426	6	73	D	-1	2	2	1	1	19	18	19	18a	71	1/4	5
432	6	48	C	0	2	2	2	1	19	18	19	18a	72	1/4	3
432	6	51	E	-1	2	2	2	1	19	18	19	18a	72	1/4	3
432	6	60	C	0	2	2	1	1	19	18	19	18a	72	1/4	4
432	6	72	C	0	2	2	1	1	19	18	19	18a	72	1/4	5
438	12	49	D	-1	2	2	2	1	20	19	20	19a	73	1/2	3
438	12	53	F	0	2	2	2	1	20	19	20	19a	73	1/2	3
438	6	60	C	0	2	2	1	1	20	19	20	19a	73	1/4	4
438	6	72	C	0	2	2	1	1	20	19	20	19a	73	1/4	5
444	12	58	B	-1	2	2	1	1	20	19	20	19a	74	1/2	3
444	12	70	B	-1	2	2	1	1	20	19	20	19a	74	1/2	4
450	12	50	D	0	2	2	2	1	20	19	20	19a	75	1/2	3
450	12	53	F	0	2	2	2	1	20	19	20	19a	75	1/2	3
456	6	56	A	-1	2	2	1	1	20	19	20	19a	76	1/4	3
456	6	68	A	-1	2	2	1	1	20	19	20	19a	76	1/4	4
462	3	51	E	-1	2	2	2	1	21	20	21	20a	77	1/8	3
462	6	55	G	0	2	2	1	1	21	20	21	20a	77	1/4	3
462	6	67	G	0	2	2	1	1	21	20	21	20a	77	1/4	4
465	3	63	E	-1	2	2	2	1	21	20	21	20a	155/2	1/8	4
468	3	51	E	-1	2	2	2	1	21	20	21	20a	78	1/8	3
471	3	63	E	-1	2	2	2	1	21	20	21	20a	157/2	1/8	4
474	3	51	E	-1	2	2	2	1	21	20	21	20a	79	1/8	3
477	3	63	E	-1	2	2	2	1	21	20	21	20a	159/2	1/8	4
480	3	51	E	-1	2	2	2	1	21	20	21	20a	80	1/8	3
480	6	76	F	-1	2	2	1	1	21	20	21	20a	80	1/4	5
483	3	63	E	-1	2	2	2	1	21	20	21	20a	161/2	1/8	4
486	3	51	E	-1	2	2	2	1	22	21	22	21a	81	1/8	3
486	6	75	E	-1	2	2	1	1	22	21	22	21a	81	1/4	5
489	3	63	E	-1	2	2	2	1	22	21	22	21a	163/2	1/8	4
492	3	51	E	-1	2	2	2	1	22	21	22	21a	82	1/8	3
492	6	73	D	-1	2	2	1	1	22	21	22	21a	82	1/4	5
495	3	63	E	-1	2	2	2	1	22	21	22	21a	165/2	1/8	4
498	3	51	E	-1	2	2	2	1	22	21	22	21a	83	1/8	3
498	6	70	B	-1	2	2	1	1	22	21	22	21a	83	1/4	4
501	3	63	E	-1	2	2	2	1	22	21	22	21a	167/2	1/8	4
504	3	51	E	-1	2	2	2	1	22	21	22	21a	84	1/8	3
504	6	67	G	0	2	2	1	1	22	21	22	21a	84	1/4	4
507	3	63	E	-1	2	2	2	1	22	21	22	21a	169/2	1/8	4
510	6	51	E	-1	2	2	2	2	23	22	23	22a	85	1/4	3
510	12	61	D	-1	2	2	2	1	23	22	23	22a	85	1/2	4
510	9	64	F	-1	2	2	1	1	23	22	23	22a	85	3/8	4
516	6	51	E	-1	2	2	2	2	23	22	23	22a	86	1/4	3
519	3	63	E	-1	2	2	1	1	23	22	23	22a	173/2	1/8	4
522	3	51	E	-1	2	2	2	2	23	22	23	22a	87	1/8	3
522	6	60	C	0	2	2	2	1	23	22	23	22a	87	1/4	4
522	6	68	A	-1	2	2	1	1	23	22	23	22a	87	1/4	4
525	3	63	E	-1	2	2	2	2	23	22	23	22a	175/2	1/8	4
528	3	51	E	-1	2	2	2	2	23	22	23	22a	88	1/8	3
528	6	76	F	-1	2	2	1	1	23	22	23	22a	88	1/4	5
531	3	63	E	-1	2	2	2	2	23	22	23	22a	177/2	1/8	4
534	3	51	E	-1	2	2	2	1	24	23	24	23a	89	1/8	3
534	6	75	E	-1	2	2	1	1	24	23	24	23a	89	1/4	5
537	3	63	E	-1	2	2	2	1	24	23	24	23a	179/2	1/8	4
540	3	51	E	-1	2	2	2	1	24	23	24	23a	90	1/8	3
540	6	73	D	-1	2	2	1	1	24	23	24	23a	90	1/4	5
543	3	63	E	-1	2	2	2	1	24	23	24	23a	181/2	1/8	4
546	3	51	E	-1	2	2	2	1	24	23	24	23a	91	1/8	3
546	6	70	B	-1	2	2	1	1	24	23	24	23a	91	1/4	4
549	3	63	E	-1	2	2	2	1	24	23	24	23a	183/2	1/8	4
552	3	51	E	-1	2	2	2	1	24	23	24	23a	92	1/8	3
552	6	67	G	0	2	2	1	1	24	23	24	23a	92	1/4	4
555	3	63	E	-1	2	2	2	1	24	23	24	23a	185/2	1/8	4
558	6	51	E	-1	2	2	2	2	25	24	25	24a	93	1/4	3
558	12	61	D	-1	2	2	2	1	25	24	25	24a	93	1/2	4
558	9	64	F	-1	2	2	1	1	25	24	25	24a	93	3/8	4
564	6	51	E	-1	2	2	2	2	25	24	25	24a	94	1/4	3
567	3	63	E	-1	2	2	1	1	25	24	25	24a	189/2	1/8	4
570	3	51	E	-1	2	2	2	2	25	24	25	24a	95	1/8	3
570	6	60	C	0	2	2	2	1	25	24	25	24a	95	1/4	4
570	6	68	A	-1	2	2	1	1	25	24	25	24a	95	1/4	4
573	3	63	E	-1	2	2	2	2	25	24	25	24a	191/2	1/8	4
576	3	51	E	-1	2	2	2	2	25	24	25	24a	96	1/8	3
576	6	76	F	-1	2	2	1	1	25	24	25	24a	96	1/4	5
579	3	63	E	-1	2	2	2	2	25	24	25	24a	193/2	1/8	4
582	3	51	E	-1	2	2	2	1	26	25	26	25a	97	1/8	3
582	6	75	E	-1	2	2	1	1	26	25	26	25a	97	1/4	5
585	3	63	E	-1	2	2	2	1	26	25	26	25a	195/2	1/8	4
588	3	51	E	-1	2	2	2	1	26	25	26	25a	98	1/8	3
588	6	73	D	-1	2	2	1	1	26	25	26	25a	98	1/4	5
591	3	63	E	-1	2	2	2	1	26	25	26	25a	197/2	1/8	4
594	3	61	D	-1	2	2	2	1	26	25	26	25a	99	1/8	4
594	6	70	B	-1	2	2	1	1	26	25	26	25a	99	1/4	4
597	3	63	E	-1	2	2	2	1	26	25	26	25a	199/2	1/8	4
600	3	61	D	-1	2	2	2	1	26	25	26	25a	100	1/8	4
600	6	67	G	0	2	2	1	1	26	25	26	25a	100	1/4	4
603	3	63	E	-1	2	2	2	1	26	25	26	25a	201/2	1/8	4
606	3	60	C	0	2	2	2	1	27	26	27	26a	101	1/8	4
609	3	63	E	-1	2	2	2	1	27	26	27	26a	203/2	1/8	4
609	3	67	G	0	2	2	1	1	27	26	27	26a	203/2	1/8	4
612	3	60	C	0	2	2	2	1	27	26	27	26a	102	1/8	4
612	3	70	B	-1	2	2	1	1	27	26	27	26a	102	1/8	4
615	3	63	E	-1	2	2	2	1	27	26	27	26a	205/2	1/8	4
615	3	68	A	-1	2	2	1	1	27	26	27	26a	205/2	1/8	4
618	3	55	G	0	2	2	2	1	27	26	27	26a	103	1/8	3
621	3	63	E	-1	2	2	2	1	27	26	27	26a	207/2	1/8	4
621	3	69	A	0	2	2	1	1	27	26	27	26a	207/2	1/8	4
624	3	55	G	0	2	2	2	1	27	26	27	26a	104	1/8	3
624	3	72	C	0	2	2	1	1	27	26	27	26a	104	1/8	5
627	3	63	E	-1	2	2	2	1	27	26	27	26a	209/2	1/8	4
627	3	70	B	-1	2	2	1	1	27	26	27	26a	209/2	1/8	4
630	3	56	A	-1	2	2	2	1	28	27	28	27a	105	1/8	3
633	3	63	E	-1	2	2	2	1	28	27	28	27a	211/2	1/8	4
633	3	71	B	0	2	2	1	1	28	27	28	27a	211/2	1/8	4
636	3	56	A	-1	2	2	2	1	28	27	28	27a	106	1/8	3
636	3	73	D	-1	2	2	1	1	28	27	28	27a	106	1/8	5
639	3	63	E	-1	2	2	2	1	28	27	28	27a	213/2	1/8	4
639	3	72	C	0	2	2	1	1	28	27	28	27a	213/2	1/8	5
642	3	53	F	0	2	2	2	1	28	27	28	27a	107	1/8	3
645	3	62	D	0	2	2	2	1	28	27	28	27a	215/2	1/8	4
645	3	74	D	0	2	2	1	1	28	27	28	27a	215/2	1/8	5
648	3	56	A	-1	2	2	2	1	28	27	28	27a	108	1/8	3
648	3	80	A	-1	2	2	1	1	28	27	28	27a	108	1/8	5
651	3	62	D	0	2	2	2	1	28	27	28	27a	217/2	1/8	4
651	3	74	D	0	2	2	1	1	28	27	28	27a	217/2	1/8	5
654	3	51	E	-1	2	2	2	1	29	28	29	28a	109	1/8	3
654	6	75	E	-1	2	2	1	1	29	28	29	28a	109	1/4	5
657	3	63	E	-1	2	2	2	1	29	28	29	28a	219/2	1/8	4
660	3	55	G	0	2	2	2	1	29	28	29	28a	110	1/8	3
663	3	63	E	-1	2	2	2	1	29	28	29	28a	221/2	1/8	4
666	3	53	F	0	2	2	2	1	29	28	29	28a	111	1/8	3
669	3	62	D	0	2	2	2	1	29	28	29	28a	223/2	1/8	4
669	3	74	D	0	2	2	1	1	29	28	29	28a	223/2	1/8	5
672	3	56	A	-1	2	2	2	1	29	28	29	28a	112	1/8	3
672	3	80	A	-1	2	2	1	1	29	28	29	28a	112	1/8	5
675	3	62	D	0	2	2	2	1	29	28	29	28a	225/2	1/8	4
675	3	74	D	0	2	2	1	1	29	28	29	28a	225/2	1/8	5
678	3	51	E	-1	2	2	2	1	30	29	30	29a	113	1/8	3
678	6	75	E	-1	2	2	1	1	30	29	30	29a	113	1/4	5
681	3	63	E	-1	2	2	2	1	30	29	30	29a	227/2	1/8	4
684	3	55	G	0	2	2	2	1	30	29	30	29a	114	1/8	3
687	3	63	E	-1	2	2	2	1	30	29	30	29a	229/2	1/8	4
690	3	49	D	-1	2	2	2	1	30	29	30	29a	115	1/8	3
693	3	58	B	-1	2	2	2	1	30	29	30	29a	231/2	1/8	3
693	3	79	G	0	2	2	1	1	30	29	30	29a	231/2	1/8	5
696	3	52	F	-1	2	2	2	1	30	29	30	29a	116	1/8	3
696	3	88	F	-1	2	2	1	1	30	29	30	29a	116	1/8	6
699	3	58	B	-1	2	2	2	1	30	29	30	29a	233/2	1/8	3
699	3	79	G	0	2	2	1	1	30	29	30	29a	233/2	1/8	5
702	3	48	C	0	2	2	2	1	31	30	31	30a	117	1/8	3
702	6	80	A	-1	2	2	1	1	31	30	31	30a	117	1/4	5
705	3	56	A	-1	2	2	2	1	31	30	31	30a	235/2	1/8	3
708	3	51	E	-1	2	2	2	1	31	30	31	30a	118	1/8	3
711	3	56	A	-1	2	2	2	1	31	30	31	30a	237/2	1/8	3
714	3	49	D	-1	2	2	2	1	31	30	31	30a	119	1/8	3
717	3	58	B	-1	2	2	2	1	31	30	31	30a	239/2	1/8	3
717	3	79	G	0	2	2	1	1	31	30	31	30a	239/2	1/8	5
720	3	52	F	-1	2	2	2	1	31	30	31	30a	120	1/8	3
720	3	88	F	-1	2	2	1	1	31	30	31	30a	120	1/8	6
723	3	58	B	-1	2	2	2	1	31	30	31	30a	241/2	1/8	3
723	3	79	G	0	2	2	1	1	31	30	31	30a	241/2	1/8	5
726	3	48	C	0	2	2	2	1	32	31	32	31a	121	1/8	3
729	3	56	A	-1	2	2	2	1	32	31	32	31a	243/2	1/8	3
729	3	79	G	0	2	2	1	1	32	31	32	31a	243/2	1/8	5
732	3	51	E	-1	2	2	2	1	32	31	32	31a	122	1/8	3
732	3	82	B	-1	2	2	1	1	32	31	32	31a	122	1/8	5
735	3	56	A	-1	2	2	2	1	32	31	32	31a	245/2	1/8	3
735	3	80	A	-1	2	2	1	1	32	31	32	31a	245/2	1/8	5
738	3	43	G	0	2	2	2	1	32	31	32	31a	123	1/8	2
741	3	55	G	0	2	2	2	1	32	31	32	31a	247/2	1/8	3
741	3	81	A	0	2	2	1	1	32	31	32	31a	247/2	1/8	5
744	3	51	E	-1	2	2	2	1	32	31	32	31a	124	1/8	3
744	3	84	C	0	2	2	1	1	32	31	32	31a	124	1/8	6
747	3	55	G	0	2	2	2	1	32	31	32	31a	249/2	1/8	3
747	3	82	B	-1	2	2	1	1	32	31	32	31a	249/2	1/8	5
750	3	44	A	-1	2	2	2	1	33	32	33	32a	125	1/8	2
753	3	56	A	-1	2	2	2	1	33	32	33	32a	251/2	1/8	3
753	3	83	B	0	2	2	1	1	33	32	33	32a	251/2	1/8	5
756	3	51	E	-1	2	2	2	1	33	32	33	32a	126	1/8	3
756	3	85	D	-1	2	2	1	1	33	32	33	32a	126	1/8	6
759	3	56	A	-1	2	2	2	1	33	32	33	32a	253/2	1/8	3
759	3	84	C	0	2	2	1	1	33	32	33	32a	253/2	1/8	6
762	3	46	B	-1	2	2	2	1	33	32	33	32a	127	1/8	2
765	3	58	B	-1	2	2	2	1	33	32	33	32a	255/2	1/8	3
765	3	84	C	0	2	2	1	1	33	32	33	32a	255/2	1/8	6
768	3	51	E	-1	2	2	2	1	33	32	33	32a	128	1/8	3
768	3	87	E	-1	2	2	1	1	33	32	33	32a	128	1/8	6
771	3	58	B	-1	2	2	2	1	33	32	33	32a	257/2	1/8	3
771	3	85	D	-1	2	2	1	1	33	32	33	32a	257/2	1/8	6
774	6	48	C	0	2	2	2	1	34	33	34	33a	129	1/4	3
777	3	86	D	0	2	2	1	1	34	33	34	33a	259/2	1/8	6
780	12	51	E	-1	2	2	2	1	34	33	34	33a	130	1/2	3
780	3	89	F	0	2	2	1	1	34	33	34	33a	130	1/8	6
783	3	87	E	-1	2	2	1	1	34	33	34	33a	261/2	1/8	6
786	3	85	D	-1	2	2	1	1	34	33	34	33a	131	1/8	6
789	3	84	C	0	2	2	1	1	34	33	34	33a	263/2	1/8	6
792	6	56	A	-1	2	2	2	1	34	33	34	33a	132	1/4	3
792	3	82	B	-1	2	2	1	1	34	33	34	33a	132	1/8	5
795	3	80	A	-1	2	2	1	1	34	33	34	33a	265/2	1/8	5
798	6	49	D	-1	2	2	2	1	35	34	35	34a	133	1/4	3
798	3	79	G	0	2	2	1	1	35	34	35	34a	133	1/8	5
801	3	77	F	0	2	2	1	1	35	34	35	34a	267/2	1/8	5
804	12	53	F	0	2	2	2	1	35	34	35	34a	134	1/2	3
804	3	75	E	-1	2	2	1	1	35	34	35	34a	134	1/8	5
807	3	73	D	-1	2	2	1	1	35	34	35	34a	269/2	1/8	5
810	3	72	C	0	2	2	1	1	35	34	35	34a	135	1/8	5
813	3	70	B	-1	2	2	1	1	35	34	35	34a	271/2	1/8	4
816	6	58	B	-1	2	2	2	1	35	34	35	34a	136	1/4	3
816	3	68	A	-1	2	2	1	1	35	34	35	34a	136	1/8	4
819	3	67	G	0	2	2	1	1	35	34	35	34a	273/2	1/8	4
822	6	51	E	-1	2	2	2	1	36	35	36	35a	137	1/4	3
822	3	65	F	0	2	2	1	1	36	35	36	35a	137	1/8	4
825	3	63	E	-1	2	2	1	1	36	35	36	35a	275/2	1/8	4
828	12	56	A	-1	2	2	2	1	36	35	36	35a	138	1/2	3
828	3	62	D	0	2	2	1	1	36	35	36	35a	138	1/8	4
831	3	63	E	-1	2	2	1	1	36	35	36	35a	277/2	1/8	4
834	3	62	D	0	2	2	1	1	36	35	36	35a	139	1/8	4
837	3	63	E	-1	2	2	1	1	36	35	36	35a	279/2	1/8	4
840	6	60	C	0	2	2	2	1	36	35	36	35a	140	1/4	4
840	3	62	D	0	2	2	1	1	36	35	36	35a	140	1/8	4
843	3	63	E	-1	2	2	1	1	36	35	36	35a	281/2	1/8	4
846	6	61	D	-1	2	2	2	1	37	36	37	36a	141	1/4	4
846	3	62	D	0	2	2	1	1	37	36	37	36a	141	1/8	4
849	3	63	E	-1	2	2	1	1	37	36	37	36a	283/2	1/8	4
852	6	58	B	-1	2	2	2	1	37	36	37	36a	142	1/4	3
852	3	65	F	0	2	2	1	1	37	36	37	36a	142	1/8	4
855	3	63	E	-1	2	2	1	1	37	36	37	36a	285/2	1/8	4
858	6	55	G	0	2	2	2	1	37	36	37	36a	143	1/4	3
858	3	62	D	0	2	2	1	1	37	36	37	36a	143	1/8	4
