piece	TimeSig	KeySig	last_mc	last_mn	length_qb	last_mc_unfolded	last_mn_unfolded	length_qb_unfolded	volta_mcs	all_notes_qb	n_onsets	n_onset_positions	guitar_chord_count	form_label_count	label_count	annotated_key	composer	workTitle	movementNumber	movementTitle	workNumber	poet	lyricist	arranger	copyright	creationDate	platform	source	translator	title_text	subtitle_text	lyricist_text	composer_text	musescore	ms3_version	subdirectory	rel_path	has_drumset	ambitus	originalFormat	electronicEncoder	staff_1_instrument	staff_1_ambitus	staff_2_instrument	staff_2_ambitus	staff_3_instrument	staff_3_ambitus	staff_4_instrument	staff_4_ambitus	staff_5_instrument	staff_5_ambitus	staff_6_instrument	staff_6_ambitus
abc-op131-1	1: 2/2	1: 4, 46: -6, 55: 5, 61: 3, 84: 4	122	120	484.0	122	120	484.0		1679.0	1414	618	0	0	334	c#										2025-03-02	Linux							3.6.2	2.5.4.post1.dev3+g4f23346.d20250302	validation	validation/abc-op131-1.mscx	False	36-93 (C2-A6)	mxl		Violin	61-93 (C#4-A6)	Violin	56-85 (G#3-C#6)	Viola	48-76 (B#2-E5)	Cello	36-69 (C2-A4)				
abc-op131-2	1: 6/8	1: 2	199	198	595.5	199	198	595.5		2004.5	2135	827	0	0	354	D										2025-03-02	Linux							3.6.2	2.5.4.post1.dev3+g4f23346.d20250302	training	training/abc-op131-2.mscx	False	37-90 (C#2-F#6)	mxl		Violin	55-90 (G3-F#6)	Violin	55-86 (G3-D6)	Viola	48-76 (C3-E5)	Cello	37-71 (C#2-B4)				
abc-op131-3	1: 4/4	1: 3	11	11	44.0	11	11	44.0		106.5	174	115	0	0	30	b										2025-03-02	Linux							3.6.2	2.5.4.post1.dev3+g4f23346.d20250302	training	training/abc-op131-3.mscx	False	40-85 (E2-C#6)	mxl		Violin	59-85 (B3-C#6)	Violin	56-76 (G#3-E5)	Viola	49-64 (C#3-E4)	Cello	40-62 (E2-D4)				
abc-op131-4	1: 2/4, 65: 4/4, 130: 6/8, 162: 2/4, 188: 9/4, 232: 2/4	1: 3, 232: 0, 244: 3, 255: -1, 265: 3	278	277	1026.0	287	286	1044.0		3387.42	5650	2337	0	0	657	A										2025-03-02	Linux							3.6.2	2.5.4.post1.dev3+g4f23346.d20250302	validation	validation/abc-op131-4.mscx	False	37-93 (C#2-A6)	mxl		Violin	56-93 (G#3-A6)	Violin	55-88 (G3-E6)	Viola	49-79 (C#3-G5)	Cello	37-88 (C#2-E6)				
abc-op131-5	1: 2/2	1: 4, 113: 3, 171: 4, 279: 3, 337: 4, 457: 3, 472: 4	500	500	2000.0	548	548	2192.0	[[[68]]]	5867.0	5105	1820	0	0	599	E										2025-03-02	Linux							3.6.2	2.5.4.post1.dev3+g4f23346.d20250302	training	training/abc-op131-5.mscx	False	37-93 (C#2-A6)	mxl		Violin	56-93 (G#3-A6)	Violin	56-83 (G#3-B5)	Viola	49-78 (C#3-F#5)	Cello	37-83 (C#2-B5)				
abc-op131-6	1: 3/4	1: 5	28	28	84.0	28	28	84.0		306.0	285	108	0	0	68	g#										2025-03-02	Linux							3.6.2	2.5.4.post1.dev3+g4f23346.d20250302	training	training/abc-op131-6.mscx	False	42-90 (F#2-F#6)	mxl		Violin	59-90 (B3-F#6)	Violin	56-76 (G#3-E5)	Viola	56-76 (G#3-E5)	Cello	42-70 (F#2-A#4)				
abc-op131-7	1: 2/2	1: 4, 99: 2, 140: 4, 211: 2, 248: 4	388	388	1552.0	388	388	1552.0		5397.0	5185	1876	0	0	523	c#										2025-03-02	Linux							3.6.2	2.5.4.post1.dev3+g4f23346.d20250302	training	training/abc-op131-7.mscx	False	36-97 (B#1-C#7)	mxl		Violin	55-97 (G3-C#7)	Violin	55-87 (G3-D#6)	Viola	48-78 (B#2-F#5)	Cello	36-69 (B#1-A4)				
abc-op132-1	1: 2/2, 9: 4/4	1: 0, 39: -1, 92: 0, 111: 1, 138: 0	264	264	1056.0	264	264	1056.0		3807.67	5181	2309	6	0	616	a	L van Beethoven	String Quartet No15 Op 132								2025-03-02	Linux			String Quartet No15 Op 132			L van Beethoven	3.6.2	2.5.4.post1.dev3+g4f23346.d20250302	training	training/abc-op132-1.mscx	False	36-95 (C2-B6)	mxl		Violin I (2)	55-95 (G3-B6)	Violin II (2)	55-88 (G3-E6)	Viola (2) (2)	48-77 (C3-F5)	Violoncello (2) (2)	36-84 (C2-C6)				
abc-op132-2	1: 3/4, 218: 2/2, 222: 3/4	1: 3, 27: 0, 71: 3	239	239	721.0	239	239	721.0		2632.5	3059	1207	0	0	477	A	L van Beethoven	String Quartet No15 Op 132								2025-03-02	Linux			String Quartet No15 Op 132			L van Beethoven	3.6.2	2.5.4.post1.dev3+g4f23346.d20250302	training	training/abc-op132-2.mscx	False	36-97 (C2-C#7)	mxl		Violin I (2)	56-97 (G#3-C#7)	Violin II (2)	55-88 (G3-E6)	Viola (2) (2)	48-76 (C3-E5)	Violoncello (2) (2)	36-69 (C2-A4)				
abc-op132-3	1: 4/4, 32: 3/8, 85: 4/4, 116: 3/8, 169: 4/4	1: 0, 32: 2, 85: 0, 116: 2, 169: 0	212	211	581.0	212	211	581.0		2226.75	3676	1523	0	0	508	C	L van Beethoven	String Quartet No15 Op 132								2025-03-02	Linux			String Quartet No15 Op 132			L van Beethoven	3.6.2	2.5.4.post1.dev3+g4f23346.d20250302	training	training/abc-op132-3.mscx	False	36-93 (C2-A6)	mxl		Violin I (2)	55-93 (G3-A6)	Violin II (2)	55-88 (G3-E6)	Viola (2) (2)	48-77 (C3-F5)	Violoncello (2) (2)	36-69 (C2-A4)				
abc-op132-4	1: 4/4, 40: 2/2	1: 3, 25: 0	46	46	184.0	70	70	280.0		564.0	749	303	0	0	113	A	L van Beethoven	String Quartet No15 Op 132								2025-03-02	Linux			String Quartet No15 Op 132			L van Beethoven	3.6.2	2.5.4.post1.dev3+g4f23346.d20250302	training	training/abc-op132-4.mscx	False	37-90 (C#2-F#6)	mxl		Violin I (2)	56-90 (G#3-F#6)	Violin II (2)	55-86 (G3-D6)	Viola (2) (2)	48-71 (C3-B4)	Violoncello (2) (2)	37-69 (C#2-A4)				
abc-op132-5	1: 3/4	1: 0, 298: 3	404	404	1212.0	404	404	1212.0		4387.5	5009	1999	0	0	715	a	L van Beethoven	String Quartet No15 Op 132								2025-03-02	Linux			String Quartet No15 Op 132			L van Beethoven	3.6.2	2.5.4.post1.dev3+g4f23346.d20250302	validation	validation/abc-op132-5.mscx	False	36-95 (C2-B6)	mxl		Violin I (2)	56-95 (G#3-B6)	Violin II (2)	55-86 (G3-D6)	Viola (2) (2)	48-76 (C3-E5)	Violoncello (2) (2)	36-91 (C2-G6)				
abc-op135-1	1: 2/4	1: -1, 94: 1, 102: -1	194	194	388.0	194	194	388.0		1216.17	3446	1521	0	0	398										"<font size=""12""/><b><i>p</i></b><font size=""12""/><b><i>cresc.</i></b>"	2025-03-02	Linux			"<font size=""8""/>&lt;font size=&quot;12&quot;/&gt;&lt;b&gt;&lt;i&gt;p&lt;/i&gt;&lt;/b&gt;&lt;font size=&quot;12&quot;/&gt;&lt;b&gt;&lt;i&gt;cresc.&lt;/i&gt;&lt;/b&gt;"				3.6.2	2.5.4.post1.dev3+g4f23346.d20250302	training	training/abc-op135-1.mscx	False	36-96 (C2-C7)	mxl		Violin	55-96 (G3-C7)	Violin	55-87 (G3-Eb6)	Viola	48-76 (C3-E5)	Cello	36-70 (C2-Bb4)				
abc-op135-2	1: 3/4	1: -1, 99: 1, 125: 3, 194: -1	275	274	823.0	375	374	1123.0	[[[67]], [[68]], [[268]], [[269]]]	3286.0	3233	926	0	0	376	F									"<font size=""10""/><i>dim.</i>"	2025-03-02	Linux			"<font size=""8""/>&lt;font size=&quot;10&quot;/&gt;&lt;i&gt;dim.&lt;/i&gt;"				3.6.2	2.5.4.post1.dev3+g4f23346.d20250302	test	test/abc-op135-2.mscx	False	36-96 (C2-C7)	mxl		Violin	55-96 (G3-C7)	Violin	55-86 (G3-D6)	Viola	48-76 (C3-E5)	Cello	36-67 (C2-G4)				
abc-op135-3	1: 6/8	1: -5, 23: 4, 32: -5	54	54	162.0	54	54	162.0		618.0	1007	417	0	0	178	Db										2025-03-02	Linux							3.6.2	2.5.4.post1.dev3+g4f23346.d20250302	training	training/abc-op135-3.mscx	False	36-94 (C2-Bb6)	mxl		Violin	56-94 (Ab3-Bb6)	Violin	56-78 (Ab3-Gb5)	Viola	48-75 (C3-Eb5)	Cello	36-68 (C2-Ab4)				
abc-op135-4	1: 3/2, 13: 4/4, 161: 3/2, 174: 4/4	1: -4, 13: -1, 45: 3, 82: 0, 111: 2, 133: -1, 143: -4, 174: -1, 200: 2, 208: -1	277	277	1158.0	277	277	1158.0		3473.75	3513	1280	0	0	554	f									"<font size=""12""/><b><i>f</i></b><font size=""12""/><b><i>f</i></b><font size=""12""/><b><i>ff</i></b><font size=""12""/><b><i>p</i></b><font size=""10""/><i>cresc.</i><font size=""12""/><b><i>p</i></b><font size=""10""/><i>dim.</i>"	2025-03-02	Linux							3.6.2	2.5.4.post1.dev3+g4f23346.d20250302	training	training/abc-op135-4.mscx	False	36-97 (C2-C#7)	mxl		Violin	57-97 (A3-C#7)	Violin	55-85 (G3-C#6)	Viola	48-76 (C3-E5)	Cello	36-81 (C2-A5)				
abc-op18-no1-1	1: 3/4	1: -1	313	313	939.25	427	427	1281.25		3129.38	4043	1901	0	0	405	F	Beethoven			Op. 18 no. 1 mvmnt 1						2025-03-02	Linux			"<font size=""24""/>Op. 18 no. 1 mvmnt 1"			"<font size=""12""/>Beethoven"	3.6.2	2.5.4.post1.dev3+g4f23346.d20250302	test	test/abc-op18-no1-1.mscx	False	36-94 (C2-Bb6)	mxl		Violin	55-94 (G3-Bb6)	Violin	55-82 (G3-Bb5)	Viola	48-76 (C3-E5)	Cello	36-82 (C2-Bb5)				
abc-op18-no1-2	1: 9/8	1: -1	110	110	495.25	110	110	495.25		1645.47	2915	1412	1	0	258	d				op18_no1_mvmnt2_all						2025-03-02	Linux			"<font size=""24""/>op18_no1_mvmnt2_all"				3.6.2	2.5.4.post1.dev3+g4f23346.d20250302	validation	validation/abc-op18-no1-2.mscx	False	36-93 (C2-A6)	mxl		Violin	57-93 (A3-A6)	Violin	55-81 (G3-A5)	Viola	48-76 (C3-E5)	Cello	36-70 (C2-Bb4)				
abc-op18-no1-3	1: 3/4	1: -1	145	145	435.0	246	246	738.0		1533.0	1176	506	0	0	203	F	Beethoven			op.18 no.1 mvmnt.3						2025-03-02	Linux			"<font size=""24""/>op.18 no.1 mvmnt.3"			"<font size=""12""/>Beethoven"	3.6.2	2.5.4.post1.dev3+g4f23346.d20250302	test	test/abc-op18-no1-3.mscx	False	36-87 (C2-Eb6)	mxl		Violin	55-87 (G3-Eb6)	Violin	55-84 (G3-C6)	Viola	48-76 (C3-E5)	Cello	36-67 (C2-G4)				
abc-op18-no1-4	1: 2/4	1: -1	381	381	762.0	381	381	762.0		2427.5	5453	2629	0	0	599	F	Beethoven			Op.18 no1:4						2025-03-02	Linux			Op.18 no1:4			Beethoven	3.6.2	2.5.4.post1.dev3+g4f23346.d20250302	training	training/abc-op18-no1-4.mscx	False	36-93 (C2-A6)	mxl		Violin	55-93 (G3-A6)	Violin	55-84 (G3-C6)	Viola	48-74 (C3-D5)	Cello	36-65 (C2-F4)				
abc-op18-no2-1	1: 2/4	1: 1	249	249	498.0	330	330	660.0		1509.38	3228	1549	1	0	485	G										2025-03-02	Linux							3.6.2	2.5.4.post1.dev3+g4f23346.d20250302	validation	validation/abc-op18-no2-1.mscx	False	37-95 (C#2-B6)	mxl		Violin	55-95 (G3-B6)	Violin	55-84 (G3-C6)	Viola	49-76 (C#3-E5)	Cello	37-81 (C#2-A5)				
abc-op18-no2-2	1: 3/4, 28: 2/4, 60: 3/4	1: 0, 28: -1, 60: 0	87	86	226.0	87	86	226.0		762.38	1788	818	1	0	176	C										2025-03-02	Linux							3.6.2	2.5.4.post1.dev3+g4f23346.d20250302	training	training/abc-op18-no2-2.mscx	False	36-89 (C2-F6)	mxl		Violin	55-89 (G3-F6)	Violin	55-77 (G3-F5)	Viola	48-74 (C3-D5)	Cello	36-81 (C2-A5)				
abc-op18-no2-3	1: 3/4	1: 1, 44: 0	88	87	261.0	88	87	261.0		794.5	1247	626	1	0	136	G										2025-03-02	Linux							3.6.2	2.5.4.post1.dev3+g4f23346.d20250302	training	training/abc-op18-no2-3.mscx	False	36-96 (C2-C7)	mxl		Violin	55-96 (G3-C7)	Violin	55-84 (G3-C6)	Viola	48-72 (C3-C5)	Cello	36-67 (C2-G4)				
abc-op18-no2-4	1: 2/4	1: 1	412	412	824.0	412	412	824.0		2807.5	4113	1700	1	0	465	G										2025-03-02	Linux							3.6.2	2.5.4.post1.dev3+g4f23346.d20250302	training	training/abc-op18-no2-4.mscx	False	36-91 (C2-G6)	mxl		Violin	55-91 (G3-G6)	Violin	55-83 (G3-B5)	Viola	48-74 (C3-D5)	Cello	36-81 (C2-A5)				
abc-op18-no3-1	1: 2/2	1: 2	271	271	1084.0	376	376	1504.0	[[[108, 109], [110]]]	3572.92	3121	1590	2	0	379	D	L van Beethoven			String Quartet Op18 No3					©	2025-03-02	Linux			"<font size=""8""/>©"				3.6.2	2.5.4.post1.dev3+g4f23346.d20250302	training	training/abc-op18-no3-1.mscx	False	37-97 (C#2-C#7)	mxl		MusicXML Default 1	55-97 (G3-C#7)	MusicXML Default 2	55-85 (G3-C#6)	MusicXML Default 3	48-71 (C3-B4)	MusicXML Default 4	37-67 (C#2-G4)				
abc-op18-no3-2	1: 2/4	1: -2	151	151	302.0	151	151	302.0		982.71	2848	1250	0	0	394	Bb	L van Beethoven			String Quartet Op18 No3					©	2025-03-02	Linux			"<font size=""8""/>©"				3.6.2	2.5.4.post1.dev3+g4f23346.d20250302	training	training/abc-op18-no3-2.mscx	False	36-94 (C2-Bb6)	mxl		MusicXML Default 1	55-94 (G3-Bb6)	MusicXML Default 2	55-86 (G3-D6)	MusicXML Default 3	48-72 (C3-C5)	MusicXML Default 4	36-65 (C2-F4)				
abc-op18-no3-3	1: 3/4	1: 2, 63: -1, 100: 2	169	168	504.0	169	168	504.0		1678.0	1149	506	2	0	276	D	L van Beethoven			String Quartet Op18 No3					©	2025-03-02	Linux							3.6.2	2.5.4.post1.dev3+g4f23346.d20250302	validation	validation/abc-op18-no3-3.mscx	False	37-93 (C#2-A6)	mxl		MusicXML Default 1	58-93 (Bb3-A6)	MusicXML Default 2	55-81 (G3-A5)	MusicXML Default 3	48-74 (C3-D5)	MusicXML Default 4	37-59 (C#2-B3)				
abc-op18-no3-4	1: 6/8	1: 2	372	371	1113.0	486	484	1453.0	[[[115, 116, 117, 118, 119, 120, 121], [122]]]	3505.0	4366	1984	13	0	554	D	L van Beethoven			String Quartet Op18 No3					©	2025-03-02	Linux			"<font size=""24""/>String Quartet Op18 No3"			"<font size=""12""/>L van Beethoven"	3.6.2	2.5.4.post1.dev3+g4f23346.d20250302	training	training/abc-op18-no3-4.mscx	False	36-95 (C2-B6)	mxl		MusicXML Default 1	55-95 (G3-B6)	MusicXML Default 2	55-86 (G3-D6)	MusicXML Default 3	48-78 (C3-F#5)	MusicXML Default 4	36-67 (C2-G4)				
abc-op18-no4-1	1: 4/4	1: -3	220	219	876.0	220	219	876.0		3304.0	4465	1584	3	0	549	c	L van Beethoven			String Quartet Op18 No4					©	2025-03-02	Linux			"<font size=""24""/>String Quartet Op18 No4"			"<font size=""12""/>L van Beethoven"	3.6.2	2.5.4.post1.dev3+g4f23346.d20250302	training	training/abc-op18-no4-1.mscx	False	36-96 (C2-C7)	mxl		MusicXML Default 1	55-96 (G3-C7)	MusicXML Default 2	55-84 (G3-C6)	MusicXML Default 3	48-72 (C3-C5)	MusicXML Default 4	36-84 (C2-C6)				
abc-op18-no4-2	1: 3/8	1: 0	261	261	391.5	343	343	514.5		1188.25	3047	1246	0	0	369	C	L van Beethoven			String Quartet Op18 No4					©	2025-03-02	Linux			"<font size=""8""/>©"				3.6.2	2.5.4.post1.dev3+g4f23346.d20250302	training	training/abc-op18-no4-2.mscx	False	36-91 (C2-G6)	mxl		MusicXML Default 1	55-91 (G3-G6)	MusicXML Default 2	55-84 (G3-C6)	MusicXML Default 3	48-76 (C3-E5)	MusicXML Default 4	36-67 (C2-G4)				
abc-op18-no4-3	1: 3/4	1: -3, 52: -4	99	98	294.0	147	146	437.0		965.0	991	487	1	0	146	c	L van Beethoven			String Quartet Op18 No4					©	2025-03-02	Linux							3.6.2	2.5.4.post1.dev3+g4f23346.d20250302	training	training/abc-op18-no4-3.mscx	False	36-91 (C2-G6)	mxl		MusicXML Default 1	55-91 (G3-G6)	MusicXML Default 2	55-82 (G3-Bb5)	MusicXML Default 3	48-72 (C3-C5)	MusicXML Default 4	36-67 (C2-G4)				
abc-op18-no4-4	1: 2/2	1: -3, 73: 0, 88: -3	217	216	865.0	434	432	1730.0		2850.0	3044	1270	0	0	383	c	L van Beethoven			String Quartet Op18 No4					©	2025-03-02	Linux			"<font size=""24""/>String Quartet Op18 No4"			"<font size=""12""/>L van Beethoven"	3.6.2	2.5.4.post1.dev3+g4f23346.d20250302	training	training/abc-op18-no4-4.mscx	False	36-96 (C2-C7)	mxl		MusicXML Default 1	55-96 (G3-C7)	MusicXML Default 2	55-82 (G3-Bb5)	MusicXML Default 3	48-72 (C3-C5)	MusicXML Default 4	36-64 (C2-E4)				
abc-op18-no5-1	1: 6/8	1: 3	228	228	684.0	444	444	1332.0	[[[79], [80]], [[220, 221], [222]]]	2065.0	3078	1366	0	0	431	A	L. van BEETHOVEN			String Quartet Op.18 No.5					©	2025-03-02	Linux			"<font size=""8""/>©"				3.6.2	2.5.4.post1.dev3+g4f23346.d20250302	training	training/abc-op18-no5-1.mscx	False	38-97 (D2-C#7)	mxl		MusicXML Default 1	57-97 (A3-C#7)	MusicXML Default 2	55-83 (G3-B5)	MusicXML Default 3	49-76 (C#3-E5)	MusicXML Default 4	38-73 (D2-C#5)				
abc-op18-no5-2	1: 3/4	1: 3	106	105	315.0	187	186	557.0		923.0	817	387	0	0	167	A	L. van BEETHOVEN			String Quartet Op.18 No.5					©	2025-03-02	Linux			"<font size=""24""/>String Quartet Op.18 No.5"			"<font size=""12""/>L. van BEETHOVEN"	3.6.2	2.5.4.post1.dev3+g4f23346.d20250302	training	training/abc-op18-no5-2.mscx	False	37-88 (C#2-E6)	mxl		MusicXML Default 1	56-88 (G#3-E6)	MusicXML Default 2	56-78 (G#3-F#5)	MusicXML Default 3	49-76 (C#3-E5)	MusicXML Default 4	37-64 (C#2-E4)				
abc-op18-no5-3	1: 2/4	1: 2	140	139	278.5	140	139	278.5		967.21	2573	1186	1	0	240	D	L. van BEETHOVEN			String Quartet Op.18 No.5					©	2025-03-02	Linux							3.6.2	2.5.4.post1.dev3+g4f23346.d20250302	training	training/abc-op18-no5-3.mscx	False	36-93 (C2-A6)	mxl		MusicXML Default 1	60-93 (C4-A6)	MusicXML Default 2	57-86 (A3-D6)	MusicXML Default 3	49-76 (C#3-E5)	MusicXML Default 4	36-67 (C2-G4)				
abc-op18-no5-4	1: 2/2	1: 3	301	300	1200.0	301	300	1200.0		3802.5	3503	1778	2	0	564	A	L. van BEETHOVEN			String Quartet Op.18 No.5					©	2025-03-02	Linux							3.6.2	2.5.4.post1.dev3+g4f23346.d20250302	training	training/abc-op18-no5-4.mscx	False	37-95 (C#2-B6)	mxl		MusicXML Default 1	56-95 (G#3-B6)	MusicXML Default 2	56-85 (G#3-C#6)	MusicXML Default 3	49-76 (C#3-E5)	MusicXML Default 4	37-81 (C#2-A5)				
