dataset	subcorpus	file	fname	extension	id_v100	split_v100	last_modified_v100	file_change_commit_url_v100	repository	repo_version	folder	folderpath	filepath
ABC		op130_no13_mov1.tsv	op130_no13_mov1	tsv			19bd4d5	https://github.com/DCMLab/ABC/blob/19bd4d5/data/tsv/op. 130 No. 13/op130_no13_mov1.tsv	ABC	v1.0	op. 130 No. 13	rawdata/ABC/data/tsv/op. 130 No. 13	rawdata/ABC/data/tsv/op. 130 No. 13/op130_no13_mov1.tsv
ABC		op130_no13_mov2.mscx	op130_no13_mov2	mscx			8c86007	https://github.com/DCMLab/ABC/blob/8c86007/data/mscx/op. 130 No. 13/op130_no13_mov2.mscx	ABC	v1.0	op. 130 No. 13	rawdata/ABC/data/mscx/op. 130 No. 13	rawdata/ABC/data/mscx/op. 130 No. 13/op130_no13_mov2.mscx
ABC		op130_no13_mov2.tsv	op130_no13_mov2	tsv			19bd4d5	https://github.com/DCMLab/ABC/blob/19bd4d5/data/tsv/op. 130 No. 13/op130_no13_mov2.tsv	ABC	v1.0	op. 130 No. 13	rawdata/ABC/data/tsv/op. 130 No. 13	rawdata/ABC/data/tsv/op. 130 No. 13/op130_no13_mov2.tsv
ABC		op130_no13_mov3.mscx	op130_no13_mov3	mscx			3dceeb3	https://github.com/DCMLab/ABC/blob/3dceeb3/data/mscx/op. 130 No. 13/op130_no13_mov3.mscx	ABC	v1.0	op. 130 No. 13	rawdata/ABC/data/mscx/op. 130 No. 13	rawdata/ABC/data/mscx/op. 130 No. 13/op130_no13_mov3.mscx
ABC		op130_no13_mov3.tsv	op130_no13_mov3	tsv			19bd4d5	https://github.com/DCMLab/ABC/blob/19bd4d5/data/tsv/op. 130 No. 13/op130_no13_mov3.tsv	ABC	v1.0	op. 130 No. 13	rawdata/ABC/data/tsv/op. 130 No. 13	rawdata/ABC/data/tsv/op. 130 No. 13/op130_no13_mov3.tsv
ABC		op130_no13_mov4.mscx	op130_no13_mov4	mscx			3aa896f	https://github.com/DCMLab/ABC/blob/3aa896f/data/mscx/op. 130 No. 13/op130_no13_mov4.mscx	ABC	v1.0	op. 130 No. 13	rawdata/ABC/data/mscx/op. 130 No. 13	rawdata/ABC/data/mscx/op. 130 No. 13/op130_no13_mov4.mscx
ABC		op130_no13_mov4.tsv	op130_no13_mov4	tsv			19bd4d5	https://github.com/DCMLab/ABC/blob/19bd4d5/data/tsv/op. 130 No. 13/op130_no13_mov4.tsv	ABC	v1.0	op. 130 No. 13	rawdata/ABC/data/tsv/op. 130 No. 13	rawdata/ABC/data/tsv/op. 130 No. 13/op130_no13_mov4.tsv
ABC		op130_no13_mov5.mscx	op130_no13_mov5	mscx			66fe53c	https://github.com/DCMLab/ABC/blob/66fe53c/data/mscx/op. 130 No. 13/op130_no13_mov5.mscx	ABC	v1.0	op. 130 No. 13	rawdata/ABC/data/mscx/op. 130 No. 13	rawdata/ABC/data/mscx/op. 130 No. 13/op130_no13_mov5.mscx
ABC		op130_no13_mov5.tsv	op130_no13_mov5	tsv			19bd4d5	https://github.com/DCMLab/ABC/blob/19bd4d5/data/tsv/op. 130 No. 13/op130_no13_mov5.tsv	ABC	v1.0	op. 130 No. 13	rawdata/ABC/data/tsv/op. 130 No. 13	rawdata/ABC/data/tsv/op. 130 No. 13/op130_no13_mov5.tsv
ABC		op130_no13_mov6.mscx	op130_no13_mov6	mscx			f09d372	https://github.com/DCMLab/ABC/blob/f09d372/data/mscx/op. 130 No. 13/op130_no13_mov6.mscx	ABC	v1.0	op. 130 No. 13	rawdata/ABC/data/mscx/op. 130 No. 13	rawdata/ABC/data/mscx/op. 130 No. 13/op130_no13_mov6.mscx
ABC		op130_no13_mov6.tsv	op130_no13_mov6	tsv			19bd4d5	https://github.com/DCMLab/ABC/blob/19bd4d5/data/tsv/op. 130 No. 13/op130_no13_mov6.tsv	ABC	v1.0	op. 130 No. 13	rawdata/ABC/data/tsv/op. 130 No. 13	rawdata/ABC/data/tsv/op. 130 No. 13/op130_no13_mov6.tsv
ABC		op131_no14_mov1.mscx	op131_no14_mov1	mscx			cf036da	https://github.com/DCMLab/ABC/blob/cf036da/data/mscx/op. 131 No. 14/op131_no14_mov1.mscx	ABC	v1.0	op. 131 No. 14	rawdata/ABC/data/mscx/op. 131 No. 14	rawdata/ABC/data/mscx/op. 131 No. 14/op131_no14_mov1.mscx
ABC		op131_no14_mov1.tsv	op131_no14_mov1	tsv			6dcced1	https://github.com/DCMLab/ABC/blob/6dcced1/data/tsv/op. 131 No. 14/op131_no14_mov1.tsv	ABC	v1.0	op. 131 No. 14	rawdata/ABC/data/tsv/op. 131 No. 14	rawdata/ABC/data/tsv/op. 131 No. 14/op131_no14_mov1.tsv
ABC		op131_no14_mov2.mscx	op131_no14_mov2	mscx			60d2248	https://github.com/DCMLab/ABC/blob/60d2248/data/mscx/op. 131 No. 14/op131_no14_mov2.mscx	ABC	v1.0	op. 131 No. 14	rawdata/ABC/data/mscx/op. 131 No. 14	rawdata/ABC/data/mscx/op. 131 No. 14/op131_no14_mov2.mscx
ABC		op131_no14_mov2.tsv	op131_no14_mov2	tsv			60d2248	https://github.com/DCMLab/ABC/blob/60d2248/data/tsv/op. 131 No. 14/op131_no14_mov2.tsv	ABC	v1.0	op. 131 No. 14	rawdata/ABC/data/tsv/op. 131 No. 14	rawdata/ABC/data/tsv/op. 131 No. 14/op131_no14_mov2.tsv
ABC		op131_no14_mov3.mscx	op131_no14_mov3	mscx			f3309c3	https://github.com/DCMLab/ABC/blob/f3309c3/data/mscx/op. 131 No. 14/op131_no14_mov3.mscx	ABC	v1.0	op. 131 No. 14	rawdata/ABC/data/mscx/op. 131 No. 14	rawdata/ABC/data/mscx/op. 131 No. 14/op131_no14_mov3.mscx
ABC		op131_no14_mov3.tsv	op131_no14_mov3	tsv			028e1ef	https://github.com/DCMLab/ABC/blob/028e1ef/data/tsv/op. 131 No. 14/op131_no14_mov3.tsv	ABC	v1.0	op. 131 No. 14	rawdata/ABC/data/tsv/op. 131 No. 14	rawdata/ABC/data/tsv/op. 131 No. 14/op131_no14_mov3.tsv
ABC		op131_no14_mov4.mscx	op131_no14_mov4	mscx			58d60a6	https://github.com/DCMLab/ABC/blob/58d60a6/data/mscx/op. 131 No. 14/op131_no14_mov4.mscx	ABC	v1.0	op. 131 No. 14	rawdata/ABC/data/mscx/op. 131 No. 14	rawdata/ABC/data/mscx/op. 131 No. 14/op131_no14_mov4.mscx
ABC		op131_no14_mov4.tsv	op131_no14_mov4	tsv			fc31572	https://github.com/DCMLab/ABC/blob/fc31572/data/tsv/op. 131 No. 14/op131_no14_mov4.tsv	ABC	v1.0	op. 131 No. 14	rawdata/ABC/data/tsv/op. 131 No. 14	rawdata/ABC/data/tsv/op. 131 No. 14/op131_no14_mov4.tsv
ABC		op131_no14_mov5.mscx	op131_no14_mov5	mscx			21c621d	https://github.com/DCMLab/ABC/blob/21c621d/data/mscx/op. 131 No. 14/op131_no14_mov5.mscx	ABC	v1.0	op. 131 No. 14	rawdata/ABC/data/mscx/op. 131 No. 14	rawdata/ABC/data/mscx/op. 131 No. 14/op131_no14_mov5.mscx
ABC		op131_no14_mov5.tsv	op131_no14_mov5	tsv			fc31572	https://github.com/DCMLab/ABC/blob/fc31572/data/tsv/op. 131 No. 14/op131_no14_mov5.tsv	ABC	v1.0	op. 131 No. 14	rawdata/ABC/data/tsv/op. 131 No. 14	rawdata/ABC/data/tsv/op. 131 No. 14/op131_no14_mov5.tsv
ABC		op131_no14_mov6.mscx	op131_no14_mov6	mscx			63f9bda	https://github.com/DCMLab/ABC/blob/63f9bda/data/mscx/op. 131 No. 14/op131_no14_mov6.mscx	ABC	v1.0	op. 131 No. 14	rawdata/ABC/data/mscx/op. 131 No. 14	rawdata/ABC/data/mscx/op. 131 No. 14/op131_no14_mov6.mscx
ABC		op131_no14_mov6.tsv	op131_no14_mov6	tsv			028e1ef	https://github.com/DCMLab/ABC/blob/028e1ef/data/tsv/op. 131 No. 14/op131_no14_mov6.tsv	ABC	v1.0	op. 131 No. 14	rawdata/ABC/data/tsv/op. 131 No. 14	rawdata/ABC/data/tsv/op. 131 No. 14/op131_no14_mov6.tsv
ABC		op131_no14_mov7.mscx	op131_no14_mov7	mscx			6fe2066	https://github.com/DCMLab/ABC/blob/6fe2066/data/mscx/op. 131 No. 14/op131_no14_mov7.mscx	ABC	v1.0	op. 131 No. 14	rawdata/ABC/data/mscx/op. 131 No. 14	rawdata/ABC/data/mscx/op. 131 No. 14/op131_no14_mov7.mscx
ABC		op131_no14_mov7.tsv	op131_no14_mov7	tsv			fc31572	https://github.com/DCMLab/ABC/blob/fc31572/data/tsv/op. 131 No. 14/op131_no14_mov7.tsv	ABC	v1.0	op. 131 No. 14	rawdata/ABC/data/tsv/op. 131 No. 14	rawdata/ABC/data/tsv/op. 131 No. 14/op131_no14_mov7.tsv
ABC		op132_no15_mov1.mscx	op132_no15_mov1	mscx			3712ef5	https://github.com/DCMLab/ABC/blob/3712ef5/data/mscx/op. 132 No. 15/op132_no15_mov1.mscx	ABC	v1.0	op. 132 No. 15	rawdata/ABC/data/mscx/op. 132 No. 15	rawdata/ABC/data/mscx/op. 132 No. 15/op132_no15_mov1.mscx
ABC		op132_no15_mov1.tsv	op132_no15_mov1	tsv			fc31572	https://github.com/DCMLab/ABC/blob/fc31572/data/tsv/op. 132 No. 15/op132_no15_mov1.tsv	ABC	v1.0	op. 132 No. 15	rawdata/ABC/data/tsv/op. 132 No. 15	rawdata/ABC/data/tsv/op. 132 No. 15/op132_no15_mov1.tsv
ABC		op132_no15_mov2.mscx	op132_no15_mov2	mscx			140d130	https://github.com/DCMLab/ABC/blob/140d130/data/mscx/op. 132 No. 15/op132_no15_mov2.mscx	ABC	v1.0	op. 132 No. 15	rawdata/ABC/data/mscx/op. 132 No. 15	rawdata/ABC/data/mscx/op. 132 No. 15/op132_no15_mov2.mscx
ABC		op132_no15_mov2.tsv	op132_no15_mov2	tsv			19bd4d5	https://github.com/DCMLab/ABC/blob/19bd4d5/data/tsv/op. 132 No. 15/op132_no15_mov2.tsv	ABC	v1.0	op. 132 No. 15	rawdata/ABC/data/tsv/op. 132 No. 15	rawdata/ABC/data/tsv/op. 132 No. 15/op132_no15_mov2.tsv
ABC		op132_no15_mov3.mscx	op132_no15_mov3	mscx			80d476c	https://github.com/DCMLab/ABC/blob/80d476c/data/mscx/op. 132 No. 15/op132_no15_mov3.mscx	ABC	v1.0	op. 132 No. 15	rawdata/ABC/data/mscx/op. 132 No. 15	rawdata/ABC/data/mscx/op. 132 No. 15/op132_no15_mov3.mscx
ABC		op132_no15_mov3.tsv	op132_no15_mov3	tsv			19bd4d5	https://github.com/DCMLab/ABC/blob/19bd4d5/data/tsv/op. 132 No. 15/op132_no15_mov3.tsv	ABC	v1.0	op. 132 No. 15	rawdata/ABC/data/tsv/op. 132 No. 15	rawdata/ABC/data/tsv/op. 132 No. 15/op132_no15_mov3.tsv
ABC		op132_no15_mov4.mscx	op132_no15_mov4	mscx			2836a8e	https://github.com/DCMLab/ABC/blob/2836a8e/data/mscx/op. 132 No. 15/op132_no15_mov4.mscx	ABC	v1.0	op. 132 No. 15	rawdata/ABC/data/mscx/op. 132 No. 15	rawdata/ABC/data/mscx/op. 132 No. 15/op132_no15_mov4.mscx
ABC		op132_no15_mov4.tsv	op132_no15_mov4	tsv			19bd4d5	https://github.com/DCMLab/ABC/blob/19bd4d5/data/tsv/op. 132 No. 15/op132_no15_mov4.tsv	ABC	v1.0	op. 132 No. 15	rawdata/ABC/data/tsv/op. 132 No. 15	rawdata/ABC/data/tsv/op. 132 No. 15/op132_no15_mov4.tsv
ABC		op132_no15_mov5.mscx	op132_no15_mov5	mscx			0d22f51	https://github.com/DCMLab/ABC/blob/0d22f51/data/mscx/op. 132 No. 15/op132_no15_mov5.mscx	ABC	v1.0	op. 132 No. 15	rawdata/ABC/data/mscx/op. 132 No. 15	rawdata/ABC/data/mscx/op. 132 No. 15/op132_no15_mov5.mscx
ABC		op132_no15_mov5.tsv	op132_no15_mov5	tsv			fc31572	https://github.com/DCMLab/ABC/blob/fc31572/data/tsv/op. 132 No. 15/op132_no15_mov5.tsv	ABC	v1.0	op. 132 No. 15	rawdata/ABC/data/tsv/op. 132 No. 15	rawdata/ABC/data/tsv/op. 132 No. 15/op132_no15_mov5.tsv
ABC		op135_no16_mov1.mscx	op135_no16_mov1	mscx			8bf1157	https://github.com/DCMLab/ABC/blob/8bf1157/data/mscx/op. 135 No. 16/op135_no16_mov1.mscx	ABC	v1.0	op. 135 No. 16	rawdata/ABC/data/mscx/op. 135 No. 16	rawdata/ABC/data/mscx/op. 135 No. 16/op135_no16_mov1.mscx
ABC		op135_no16_mov1.tsv	op135_no16_mov1	tsv			fc31572	https://github.com/DCMLab/ABC/blob/fc31572/data/tsv/op. 135 No. 16/op135_no16_mov1.tsv	ABC	v1.0	op. 135 No. 16	rawdata/ABC/data/tsv/op. 135 No. 16	rawdata/ABC/data/tsv/op. 135 No. 16/op135_no16_mov1.tsv
ABC		op135_no16_mov2.mscx	op135_no16_mov2	mscx			5034772	https://github.com/DCMLab/ABC/blob/5034772/data/mscx/op. 135 No. 16/op135_no16_mov2.mscx	ABC	v1.0	op. 135 No. 16	rawdata/ABC/data/mscx/op. 135 No. 16	rawdata/ABC/data/mscx/op. 135 No. 16/op135_no16_mov2.mscx
ABC		op135_no16_mov2.tsv	op135_no16_mov2	tsv			5034772	https://github.com/DCMLab/ABC/blob/5034772/data/tsv/op. 135 No. 16/op135_no16_mov2.tsv	ABC	v1.0	op. 135 No. 16	rawdata/ABC/data/tsv/op. 135 No. 16	rawdata/ABC/data/tsv/op. 135 No. 16/op135_no16_mov2.tsv
ABC		op135_no16_mov3.mscx	op135_no16_mov3	mscx			c3699dc	https://github.com/DCMLab/ABC/blob/c3699dc/data/mscx/op. 135 No. 16/op135_no16_mov3.mscx	ABC	v1.0	op. 135 No. 16	rawdata/ABC/data/mscx/op. 135 No. 16	rawdata/ABC/data/mscx/op. 135 No. 16/op135_no16_mov3.mscx
ABC		op135_no16_mov3.tsv	op135_no16_mov3	tsv			fc31572	https://github.com/DCMLab/ABC/blob/fc31572/data/tsv/op. 135 No. 16/op135_no16_mov3.tsv	ABC	v1.0	op. 135 No. 16	rawdata/ABC/data/tsv/op. 135 No. 16	rawdata/ABC/data/tsv/op. 135 No. 16/op135_no16_mov3.tsv
ABC		op135_no16_mov4.mscx	op135_no16_mov4	mscx			b1ff133	https://github.com/DCMLab/ABC/blob/b1ff133/data/mscx/op. 135 No. 16/op135_no16_mov4.mscx	ABC	v1.0	op. 135 No. 16	rawdata/ABC/data/mscx/op. 135 No. 16	rawdata/ABC/data/mscx/op. 135 No. 16/op135_no16_mov4.mscx
ABC		op135_no16_mov4.tsv	op135_no16_mov4	tsv			fc31572	https://github.com/DCMLab/ABC/blob/fc31572/data/tsv/op. 135 No. 16/op135_no16_mov4.tsv	ABC	v1.0	op. 135 No. 16	rawdata/ABC/data/tsv/op. 135 No. 16	rawdata/ABC/data/tsv/op. 135 No. 16/op135_no16_mov4.tsv
ABC		op18_no1_mov1.mscx	op18_no1_mov1	mscx			90de787	https://github.com/DCMLab/ABC/blob/90de787/data/mscx/op. 18 No. 1/op18_no1_mov1.mscx	ABC	v1.0	op. 18 No. 1	rawdata/ABC/data/mscx/op. 18 No. 1	rawdata/ABC/data/mscx/op. 18 No. 1/op18_no1_mov1.mscx
ABC		op18_no1_mov1.tsv	op18_no1_mov1	tsv			fc31572	https://github.com/DCMLab/ABC/blob/fc31572/data/tsv/op. 18 No. 1/op18_no1_mov1.tsv	ABC	v1.0	op. 18 No. 1	rawdata/ABC/data/tsv/op. 18 No. 1	rawdata/ABC/data/tsv/op. 18 No. 1/op18_no1_mov1.tsv
ABC		op18_no1_mov2.mscx	op18_no1_mov2	mscx			f87fdac	https://github.com/DCMLab/ABC/blob/f87fdac/data/mscx/op. 18 No. 1/op18_no1_mov2.mscx	ABC	v1.0	op. 18 No. 1	rawdata/ABC/data/mscx/op. 18 No. 1	rawdata/ABC/data/mscx/op. 18 No. 1/op18_no1_mov2.mscx
ABC		op18_no1_mov2.tsv	op18_no1_mov2	tsv			fc31572	https://github.com/DCMLab/ABC/blob/fc31572/data/tsv/op. 18 No. 1/op18_no1_mov2.tsv	ABC	v1.0	op. 18 No. 1	rawdata/ABC/data/tsv/op. 18 No. 1	rawdata/ABC/data/tsv/op. 18 No. 1/op18_no1_mov2.tsv
ABC		op18_no1_mov3.mscx	op18_no1_mov3	mscx			21c621d	https://github.com/DCMLab/ABC/blob/21c621d/data/mscx/op. 18 No. 1/op18_no1_mov3.mscx	ABC	v1.0	op. 18 No. 1	rawdata/ABC/data/mscx/op. 18 No. 1	rawdata/ABC/data/mscx/op. 18 No. 1/op18_no1_mov3.mscx
ABC		op18_no1_mov3.tsv	op18_no1_mov3	tsv			fc31572	https://github.com/DCMLab/ABC/blob/fc31572/data/tsv/op. 18 No. 1/op18_no1_mov3.tsv	ABC	v1.0	op. 18 No. 1	rawdata/ABC/data/tsv/op. 18 No. 1	rawdata/ABC/data/tsv/op. 18 No. 1/op18_no1_mov3.tsv
ABC		op18_no1_mov4.mscx	op18_no1_mov4	mscx			c6d4992	https://github.com/DCMLab/ABC/blob/c6d4992/data/mscx/op. 18 No. 1/op18_no1_mov4.mscx	ABC	v1.0	op. 18 No. 1	rawdata/ABC/data/mscx/op. 18 No. 1	rawdata/ABC/data/mscx/op. 18 No. 1/op18_no1_mov4.mscx
ABC		op18_no1_mov4.tsv	op18_no1_mov4	tsv			fc31572	https://github.com/DCMLab/ABC/blob/fc31572/data/tsv/op. 18 No. 1/op18_no1_mov4.tsv	ABC	v1.0	op. 18 No. 1	rawdata/ABC/data/tsv/op. 18 No. 1	rawdata/ABC/data/tsv/op. 18 No. 1/op18_no1_mov4.tsv
ABC		op18_no2_mov1.mscx	op18_no2_mov1	mscx			6bec308	https://github.com/DCMLab/ABC/blob/6bec308/data/mscx/op. 18 No. 2/op18_no2_mov1.mscx	ABC	v1.0	op. 18 No. 2	rawdata/ABC/data/mscx/op. 18 No. 2	rawdata/ABC/data/mscx/op. 18 No. 2/op18_no2_mov1.mscx
ABC		op18_no2_mov1.tsv	op18_no2_mov1	tsv			fc31572	https://github.com/DCMLab/ABC/blob/fc31572/data/tsv/op. 18 No. 2/op18_no2_mov1.tsv	ABC	v1.0	op. 18 No. 2	rawdata/ABC/data/tsv/op. 18 No. 2	rawdata/ABC/data/tsv/op. 18 No. 2/op18_no2_mov1.tsv
ABC		op18_no2_mov2.mscx	op18_no2_mov2	mscx			c44e43d	https://github.com/DCMLab/ABC/blob/c44e43d/data/mscx/op. 18 No. 2/op18_no2_mov2.mscx	ABC	v1.0	op. 18 No. 2	rawdata/ABC/data/mscx/op. 18 No. 2	rawdata/ABC/data/mscx/op. 18 No. 2/op18_no2_mov2.mscx
ABC		op18_no2_mov2.tsv	op18_no2_mov2	tsv			095a11d	https://github.com/DCMLab/ABC/blob/095a11d/data/tsv/op. 18 No. 2/op18_no2_mov2.tsv	ABC	v1.0	op. 18 No. 2	rawdata/ABC/data/tsv/op. 18 No. 2	rawdata/ABC/data/tsv/op. 18 No. 2/op18_no2_mov2.tsv
ABC		op18_no2_mov3.mscx	op18_no2_mov3	mscx			21c621d	https://github.com/DCMLab/ABC/blob/21c621d/data/mscx/op. 18 No. 2/op18_no2_mov3.mscx	ABC	v1.0	op. 18 No. 2	rawdata/ABC/data/mscx/op. 18 No. 2	rawdata/ABC/data/mscx/op. 18 No. 2/op18_no2_mov3.mscx
ABC		op18_no2_mov3.tsv	op18_no2_mov3	tsv			095a11d	https://github.com/DCMLab/ABC/blob/095a11d/data/tsv/op. 18 No. 2/op18_no2_mov3.tsv	ABC	v1.0	op. 18 No. 2	rawdata/ABC/data/tsv/op. 18 No. 2	rawdata/ABC/data/tsv/op. 18 No. 2/op18_no2_mov3.tsv
ABC		op18_no2_mov4.mscx	op18_no2_mov4	mscx			ccc4aa3	https://github.com/DCMLab/ABC/blob/ccc4aa3/data/mscx/op. 18 No. 2/op18_no2_mov4.mscx	ABC	v1.0	op. 18 No. 2	rawdata/ABC/data/mscx/op. 18 No. 2	rawdata/ABC/data/mscx/op. 18 No. 2/op18_no2_mov4.mscx
ABC		op18_no2_mov4.tsv	op18_no2_mov4	tsv			fc31572	https://github.com/DCMLab/ABC/blob/fc31572/data/tsv/op. 18 No. 2/op18_no2_mov4.tsv	ABC	v1.0	op. 18 No. 2	rawdata/ABC/data/tsv/op. 18 No. 2	rawdata/ABC/data/tsv/op. 18 No. 2/op18_no2_mov4.tsv
ABC		op18_no3_mov1.mscx	op18_no3_mov1	mscx			0ee51bb	https://github.com/DCMLab/ABC/blob/0ee51bb/data/mscx/op. 18 No. 3/op18_no3_mov1.mscx	ABC	v1.0	op. 18 No. 3	rawdata/ABC/data/mscx/op. 18 No. 3	rawdata/ABC/data/mscx/op. 18 No. 3/op18_no3_mov1.mscx
ABC		op18_no3_mov1.tsv	op18_no3_mov1	tsv			fc31572	https://github.com/DCMLab/ABC/blob/fc31572/data/tsv/op. 18 No. 3/op18_no3_mov1.tsv	ABC	v1.0	op. 18 No. 3	rawdata/ABC/data/tsv/op. 18 No. 3	rawdata/ABC/data/tsv/op. 18 No. 3/op18_no3_mov1.tsv
ABC		op18_no3_mov2.mscx	op18_no3_mov2	mscx			8ebf272	https://github.com/DCMLab/ABC/blob/8ebf272/data/mscx/op. 18 No. 3/op18_no3_mov2.mscx	ABC	v1.0	op. 18 No. 3	rawdata/ABC/data/mscx/op. 18 No. 3	rawdata/ABC/data/mscx/op. 18 No. 3/op18_no3_mov2.mscx
ABC		op18_no3_mov2.tsv	op18_no3_mov2	tsv			fc31572	https://github.com/DCMLab/ABC/blob/fc31572/data/tsv/op. 18 No. 3/op18_no3_mov2.tsv	ABC	v1.0	op. 18 No. 3	rawdata/ABC/data/tsv/op. 18 No. 3	rawdata/ABC/data/tsv/op. 18 No. 3/op18_no3_mov2.tsv
ABC		op18_no3_mov3.mscx	op18_no3_mov3	mscx			21c621d	https://github.com/DCMLab/ABC/blob/21c621d/data/mscx/op. 18 No. 3/op18_no3_mov3.mscx	ABC	v1.0	op. 18 No. 3	rawdata/ABC/data/mscx/op. 18 No. 3	rawdata/ABC/data/mscx/op. 18 No. 3/op18_no3_mov3.mscx
ABC		op18_no3_mov3.tsv	op18_no3_mov3	tsv			fc31572	https://github.com/DCMLab/ABC/blob/fc31572/data/tsv/op. 18 No. 3/op18_no3_mov3.tsv	ABC	v1.0	op. 18 No. 3	rawdata/ABC/data/tsv/op. 18 No. 3	rawdata/ABC/data/tsv/op. 18 No. 3/op18_no3_mov3.tsv
ABC		op18_no3_mov4.mscx	op18_no3_mov4	mscx			ccc4aa3	https://github.com/DCMLab/ABC/blob/ccc4aa3/data/mscx/op. 18 No. 3/op18_no3_mov4.mscx	ABC	v1.0	op. 18 No. 3	rawdata/ABC/data/mscx/op. 18 No. 3	rawdata/ABC/data/mscx/op. 18 No. 3/op18_no3_mov4.mscx
ABC		op18_no3_mov4.tsv	op18_no3_mov4	tsv			fc31572	https://github.com/DCMLab/ABC/blob/fc31572/data/tsv/op. 18 No. 3/op18_no3_mov4.tsv	ABC	v1.0	op. 18 No. 3	rawdata/ABC/data/tsv/op. 18 No. 3	rawdata/ABC/data/tsv/op. 18 No. 3/op18_no3_mov4.tsv
ABC		op18_no4_mov1.mscx	op18_no4_mov1	mscx			56803d5	https://github.com/DCMLab/ABC/blob/56803d5/data/mscx/op. 18 No. 4/op18_no4_mov1.mscx	ABC	v1.0	op. 18 No. 4	rawdata/ABC/data/mscx/op. 18 No. 4	rawdata/ABC/data/mscx/op. 18 No. 4/op18_no4_mov1.mscx
ABC		op18_no4_mov1.tsv	op18_no4_mov1	tsv			fc31572	https://github.com/DCMLab/ABC/blob/fc31572/data/tsv/op. 18 No. 4/op18_no4_mov1.tsv	ABC	v1.0	op. 18 No. 4	rawdata/ABC/data/tsv/op. 18 No. 4	rawdata/ABC/data/tsv/op. 18 No. 4/op18_no4_mov1.tsv
